x,y,z,Bx,By,Bz
95,152,0,-4865.6963,3012.2122,5002.624
99,152,0,-5370.5361,3688.938,6781.8081
103,152,0,-5601.3203,4485.8643,9532.8643
107,152,0,-4589.2358,5354.9102,14194.752
111,152,0,2597.522,5990.7681,20107.2949
115,152,0,12123.3721,6072.5039,15518.9756
119,152,0,14236.4883,7518.5103,9534.7998
123,152,0,14262.9326,8756.5703,776.336
127,152,0,14268.9424,9887.6523,-10173.6797
131,152,0,6136.21,9805.916,-19311.5996
135,152,0,-2247.74,8302.2139,-11898.6563
139,152,0,-3043.4641,6387.4282,-6628.8638
143,152,0,-2637.188,4419.7539,-3732.6079
147,152,0,-2181.6301,2500.1602,-1939.8719
151,152,0,-1869.11,668.312,-671.792
155,152,0,-1738.092,-1109.446,458.832
159,152,0,-1777.7581,-2911.2441,1717.2319
163,152,0,-1908.776,-4780.354,3444.144
167,152,0,-1772.9501,-6695.1401,6288.1279
171,152,0,359.398,-8469.292,11310.1123
175,152,0,10858.8682,-9539.0723,14349.6318
179,152,0,14243.7002,-8815.4678,3324.1121
183,152,0,14216.0547,-7474.0361,-3964.928
187,152,0,13226.8086,-6522.0522,-10580.2402
191,152,0,8171.1963,-6159.0483,-17123.9199
195,152,0,-1851.0801,-5851.3359,-18134.5117
199,152,0,-5880.1841,-5113.3081,-12324.5762
203,152,0,-6167.4619,-4292.3423,-8553.248
203,156,0,-5306.8301,-4764.728,-7864.0317
199,156,0,-4966.6641,-5665.0259,-11323.6641
195,156,0,-1341.432,-6483.5879,-16769.6328
191,156,0,8037.7739,-6798.5122,-16643.791
187,156,0,13327.7764,-7088.1943,-11099.0879
183,156,0,14230.4785,-7696.4062,-4737.3921
179,156,0,14252.1143,-8296.2041,5138.144
175,156,0,10569.1865,-8109.894,16603.1367
171,156,0,-929.146,-6984.8223,13188.0322
167,156,0,-3378.822,-5573.6743,7587.1841
163,156,0,-3584.364,-4056.75,4286.3042
159,156,0,-3449.74,-2510.978,2166.384
155,156,0,-3389.6401,-970.014,571.12
151,156,0,-3526.668,549.314,-871.2
147,156,0,-3875.248,2077.0562,-2458.72
143,156,0,-4383.6938,3638.4541,-4586.3838
139,156,0,-4793.5762,5191.438,-7850.48
135,156,0,-3881.2581,6673.5039,-13530.7041
131,156,0,4850.0703,7944.0181,-21524.4473
127,156,0,14261.7305,8546.2197,-12837.6162
123,156,0,14273.75,8219.2764,-704.704
119,156,0,14246.1045,7846.6562,7734.3198
115,156,0,12772.4521,7300.9482,14897.5195
111,156,0,3123.998,6786.4922,18786.9434
107,156,0,-3583.1621,6003.9902,13172.5439
103,156,0,-4668.5679,5013.542,8851.3916
99,156,0,-4568.8022,4134.8799,6303.6157
95,156,0,-4193.7783,3388.438,4644.4639
95,160,0,-3483.396,3648.0701,4212.7358
99,160,0,-3723.7961,4423.3599,5687.9678
103,160,0,-3686.5342,5341.688,7951.1519
107,160,0,-2574.6841,6366.9941,11776.6875
111,160,0,3575.95,7234.8379,16788.9922
115,160,0,12826.542,7502.8843,13195.7764
119,160,0,14243.7002,7462.0161,6342.3359
123,160,0,14267.7402,7344.2202,-2017.312
127,160,0,14254.5186,7055.7402,-14301.2314
131,160,0,4030.3062,6315.3081,-22358.8633
135,160,0,-5012.3403,5211.8721,-14446.4316
139,160,0,-6037.646,4033.9121,-8514.5283
143,160,0,-5689.0659,2815.084,-5016.1758
147,160,0,-5193.8423,1566.2061,-2662.0
151,160,0,-4851.272,332.954,-863.456
155,160,0,-4705.8301,-920.732,791.824
159,160,0,-4762.3242,-2157.5901,2600.0481
163,160,0,-4887.332,-3399.2561,4938.7358
167,160,0,-4628.9019,-4606.064,8464.1924
171,160,0,-2117.9241,-5750.3682,14291.5518
175,160,0,9640.04,-6787.6943,18308.752
179,160,0,14253.3164,-7302.1499,7052.8481
183,160,0,14242.498,-7403.1182,-2818.8159
187,160,0,13534.5205,-7353.8359,-9596.752
191,160,0,8184.418,-7329.7959,-15036.9121
195,160,0,-593.788,-6954.772,-15029.168
199,160,0,-3948.5701,-6082.1201,-10150.4482
203,160,0,-4364.4619,-5130.1362,-7052.8481
203,164,0,-3418.488,-5339.2842,-6168.0962
199,164,0,-2943.698,-6304.4902,-8832.0322
195,164,0,102.17,-7222.8184,-13098.9756
191,164,0,8030.562,-7617.0742,-13186.0957
187,164,0,13301.332,-7443.9863,-8229.9355
183,164,0,14232.8818,-7121.8501,-1657.2159
179,164,0,14241.2959,-6607.394,8086.6719
175,164,0,8926.0518,-5803.2563,19166.4004
171,164,0,-3037.4541,-4716.6479,15027.2314
167,164,0,-5645.7939,-3717.7861,8992.7197
163,164,0,-5951.1021,-2746.5701,5304.6401
159,164,0,-5853.7402,-1770.546,2793.6479
155,164,0,-5799.6499,-780.098,824.736
151,164,0,-5925.8604,193.522,-975.744
147,164,0,-6269.6323,1162.334,-2925.2959
143,164,0,-6749.23,2123.9341,-5413.0562
139,164,0,-7094.2041,3071.1101,-9023.6963
135,164,0,-6106.1602,4020.6902,-15027.2314
131,164,0,2643.198,5070.0361,-22722.832
127,164,0,14244.9023,6122.9883,-15642.8799
123,164,0,14259.3262,6873.0361,-3490.6079
119,164,0,14240.0947,7367.0581,4743.2002
115,164,0,12711.1504,7675.9722,11283.0078
111,164,0,4262.292,7464.4199,14665.2002
107,164,0,-1492.884,6604.9902,10330.4961
103,164,0,-2657.6221,5571.27,6998.6401
99,164,0,-2837.9221,4630.104,5020.0479
95,164,0,-2739.3582,3834.3801,3730.6719
95,168,0,-2014.552,3875.248,3231.1841
99,168,0,-1974.886,4651.7402,4301.792
103,168,0,-1668.376,5572.4722,5951.2642
107,168,0,-482.002,6591.7681,8744.9121
111,168,0,4695.0122,7447.5923,12403.9521
115,168,0,12349.3486,7613.4683,9194.0635
119,168,0,14219.6602,7185.5562,3066.624
123,168,0,14250.9121,6362.186,-4867.104
127,168,0,14226.8721,5213.0742,-16531.5039
131,168,0,1656.3561,3918.52,-22784.7832
135,168,0,-6881.4502,2922.062,-15242.1279
139,168,0,-7834.6362,2166.0042,-9225.04
143,168,0,-7511.2983,1468.844,-5558.2559
147,168,0,-7050.9321,763.27,-2991.1199
151,168,0,-6721.584,46.878,-966.064
155,168,0,-6590.5659,-685.14,929.28
159,168,0,-6637.4443,-1432.7841,2987.248
163,168,0,-6732.4023,-2187.6401,5566.0
167,168,0,-6454.7402,-2971.344,9321.8398
171,168,0,-4012.2761,-3859.6221,15412.4961
175,168,0,7690.396,-5045.9961,20033.7285
179,168,0,14236.4883,-6100.1499,9457.3604
183,168,0,14219.6602,-6976.4082,-5.808
187,168,0,13008.0439,-7560.5801,-6437.2002
191,168,0,8069.0264,-7782.9502,-11019.7119
195,168,0,942.368,-7335.8062,-11135.8721
199,168,0,-1902.766,-6395.8423,-7502.0
203,168,0,-2456.8879,-5421.02,-5248.4961
203,172,0,-1527.7421,-5356.1123,-4317.2798
199,172,0,-908.712,-6296.0762,-6111.9521
195,172,0,1679.194,-7238.4443,-9058.5439
191,172,0,7998.1079,-7751.6982,-8706.1924
187,172,0,12376.9941,-7472.834,-4367.6162
183,172,0,14157.1563,-6687.9282,1645.6
179,172,0,14194.418,-5544.8262,10531.8398
175,172,0,6507.6279,-4149.3042,20469.3281
171,172,0,-4838.0503,-2960.5261,15553.8242
167,172,0,-7112.2339,-2226.104,9434.1279
163,172,0,-7332.2002,-1653.952,5668.6079
159,172,0,-7215.606,-1134.688,3066.624
155,172,0,-7153.1021,-622.636,983.488
151,172,0,-7260.0801,-127.412,-940.896
147,172,0,-7565.3882,359.398,-3004.6719
143,172,0,-8020.9463,836.592,-5579.5518
139,172,0,-8383.9502,1317.392,-9192.1279
135,172,0,-7612.2661,1855.8881,-15110.4795
131,172,0,201.936,2721.3281,-22786.7207
127,172,0,14107.874,4243.0601,-17625.3437
123,172,0,14244.9023,5740.752,-6655.9678
119,172,0,14200.4287,6826.1582,828.608
115,172,0,12072.8887,7460.814,6621.1201
111,172,0,5360.9199,7337.0083,10032.3516
107,172,0,536.092,6459.5483,7170.9438
103,172,0,-709.18,5455.8779,4901.9521
99,172,0,-1139.496,4576.0142,3581.6001
95,172,0,-1310.1801,3823.562,2704.592
95,176,0,-656.292,3648.0701,2201.2319
99,176,0,-372.62,4322.3921,2859.4719
103,176,0,183.906,5125.3281,3858.448
107,176,0,1476.056,6019.6162,5562.1279
111,176,0,5768.3979,6792.502,7581.376
115,176,0,11492.3223,6788.896,4259.2002
119,176,0,13957.624,6050.8682,-1109.328
123,176,0,14205.2363,4767.1323,-8080.8638
127,176,0,13130.6484,3038.656,-18018.3516
131,176,0,-808.946,1461.6321,-22624.0957
135,176,0,-7999.3101,805.34,-14748.4482
139,176,0,-8651.9961,519.264,-9027.5684
143,176,0,-8302.2139,300.5,-5500.1758
147,176,0,-7879.1104,68.514,-2979.5039
151,176,0,-7588.2261,-192.32,-940.896
155,176,0,-7482.4502,-480.8,981.552
159,176,0,-7554.5703,-787.31,3074.3679
163,176,0,-7696.4062,-1113.052,5658.9277
167,176,0,-7567.792,-1490.48,9362.4961
171,176,0,-5614.542,-2065.0361,15375.7119
175,176,0,4883.7261,-3229.7742,20742.3047
179,176,0,13603.0342,-4775.5459,11877.3604
183,176,0,13761.6982,-6121.7861,3539.0081
187,176,0,11737.5303,-7014.8721,-2139.28
191,176,0,8019.7441,-7362.25,-6216.4961
195,176,0,2514.584,-6947.5601,-7019.936
