x,y,z,Mx,My,Mz
108.0,136.0,-30.0,-17153.64052505608,-56423.90756338759,22615.521177919218
108.0,136.0,-25.0,-22892.860032483055,-66141.36801081561,19346.300128780593
108.0,136.0,-20.0,-25600.607914028977,-74561.13010194837,12924.65827332233
108.0,136.0,-15.0,-27138.70596556882,-81096.03851576525,-3.623986580910591e-10
108.0,136.0,-10.0,-25600.607914028824,-74561.13010194755,-12924.658273323003
108.0,136.0,-5.0,-22892.86003248189,-66141.36801081397,-19346.30012877871
108.0,136.0,0.0,-17153.640525056886,-56423.90756338535,-22615.521177920004
108.0,141.0,-30.0,-18723.419978081038,-56087.83662727762,16762.68733187559
108.0,141.0,-25.0,-22669.296572181283,-64109.57881014743,16214.774478912579
108.0,141.0,-20.0,-26778.174094423146,-71058.18167920245,9502.58822257317
108.0,141.0,-15.0,-28466.21494810507,-74718.10469873255,6.406480679288506e-10
108.0,141.0,-10.0,-26778.174094423655,-71058.18167920204,-9502.588222572318
108.0,141.0,-5.0,-22669.296572181884,-64109.57881014563,-16214.774478912028
108.0,141.0,0.0,-18723.41997807998,-56087.83662727477,-16762.687331876103
108.0,146.0,-30.0,-18631.712225607986,-56343.32246788635,12116.584892097922
108.0,146.0,-25.0,-24388.236852145503,-62570.66471052478,12567.653415218969
108.0,146.0,-20.0,-28122.739645538266,-67290.4155104494,8788.220574039597
108.0,146.0,-15.0,-31231.43983282735,-70216.83332325035,1.0871959742731772e-10
108.0,146.0,-10.0,-28122.739645538713,-67290.41551044924,-8788.220574038505
108.0,146.0,-5.0,-24388.23685214456,-62570.66471052181,-12567.653415218849
108.0,146.0,0.0,-18631.71222560671,-56343.3224678849,-12116.584892096418
108.0,151.0,-30.0,-22630.35613935448,-59572.646221852985,8437.642193428861
108.0,151.0,-25.0,-25971.968249271464,-61147.75359840216,8434.969698525892
108.0,151.0,-20.0,-30422.041757663803,-63964.14148740794,5677.654906382204
108.0,151.0,-15.0,-33153.291043706755,-64986.14525360627,-1.227817847393453e-10
108.0,151.0,-10.0,-30422.04175766403,-63964.141487407716,-5677.6549063805805
108.0,151.0,-5.0,-25971.968249270813,-61147.75359840121,-8434.969698526444
108.0,151.0,0.0,-22630.356139352705,-59572.64622185151,-8437.642193427748
108.0,156.0,-30.0,-22479.26890287436,-60993.00176725053,6866.261559914081
108.0,156.0,-25.0,-27625.61475746659,-62062.498631459624,6909.483902360264
108.0,156.0,-20.0,-31258.560506683632,-62294.124373799415,4794.2144823441195
108.0,156.0,-15.0,-33924.918350914704,-63072.594276219665,-5.203592314874419e-10
108.0,156.0,-10.0,-31258.560506683625,-62294.12437380004,-4794.214482344948
108.0,156.0,-5.0,-27625.614757464737,-62062.49863146062,-6909.483902359822
108.0,156.0,0.0,-22479.268902873788,-60993.00176725134,-6866.261559915797
108.0,161.0,-30.0,-24071.947738856892,-61004.89242012585,6523.246712590806
108.0,161.0,-25.0,-26903.856258816035,-61164.902096946564,6073.254757472852
108.0,161.0,-20.0,-30947.906215857798,-62545.70274984289,4115.850926550239
108.0,161.0,-15.0,-33537.003519237325,-62895.24253510175,-6.376782179219075e-10
