x,y,z,Bx,By,Bz
90,110,0,-3402.8621,3349.9741,16951.6152
100,110,0,-4487.0659,-7493.2681,6702.4321
110,110,0,-668.312,-11286.7803,9738.0801
120,110,0,5937.8799,-10333.5938,9271.5039
130,110,0,8938.0723,-5310.436,5428.5439
140,110,0,8490.9277,-1591.448,1860.496
150,110,0,8393.5664,663.504,-948.64
160,110,0,9309.4902,3767.0681,-4383.104
170,110,0,8107.4902,9249.3906,-9095.3281
180,110,0,1498.894,12606.5762,-11676.0156
190,110,0,-4646.9321,9475.3662,-9114.6875
200,110,0,-5335.6782,4969.0679,-5205.9038
210,110,0,-4101.2241,2574.6841,-2859.4719
210,120,0,-5362.1221,1270.514,-3701.6321
200,120,0,-8505.3525,2603.532,-7860.1602
190,120,0,-12369.7822,7516.106,-20570.0
180,120,0,1649.144,13283.3018,-22939.6641
170,120,0,14228.0742,6833.3701,-22664.752
160,120,0,13051.3164,87.746,-6830.208
150,120,0,9357.5703,-159.866,-1237.104
140,120,0,10028.2861,296.894,2406.448
130,120,0,14081.4307,-1861.8981,10152.3838
120,120,0,12175.0586,-11959.9004,22871.9043
110,120,0,-4169.7383,-13910.7461,22877.7109
100,120,0,-10134.0625,-6299.6821,13176.416
90,120,0,-6729.998,-2619.158,5614.3999
90,130,0,-7065.356,468.78,6319.104
100,130,0,-9965.7822,3547.1021,14852.9922
110,130,0,604.606,14228.0742,22895.1367
120,130,0,14195.6201,14282.1641,21098.5273
130,130,0,11832.4883,11390.1523,5658.9277
140,130,0,7171.1323,3334.3481,1370.688
150,130,0,6457.144,-1443.6021,-679.536
160,130,0,8952.4961,-7578.6104,-3525.4561
170,130,0,13804.9707,-14265.3359,-12053.5361
180,130,0,5077.248,-14262.9326,-21088.8477
190,130,0,-7714.436,-7671.1641,-18231.3125
200,130,0,-8006.522,-1687.608,-8210.5762
210,130,0,-5419.8179,-537.294,-3978.48
210,140,0,-4567.6001,-1796.99,-3691.9519
200,140,0,-5806.8623,-3089.1401,-7209.6641
190,140,0,-1572.2161,-4865.6963,-15377.6475
180,140,0,11293.9922,-9613.5957,-7217.4082
170,140,0,10061.9424,-12881.834,8291.8877
160,140,0,776.492,-7637.5083,2797.52
150,140,0,938.762,-1566.2061,181.984
140,140,0,865.44,4079.5881,-1353.264
130,140,0,1376.29,10997.0986,-6470.1118
120,140,0,14192.0146,12885.4404,-3178.9119
110,140,0,10588.418,8490.9277,11312.0479
100,140,0,-4957.0479,4007.468,12369.1035
90,140,0,-5558.0483,2287.406,5844.7842
90,150,0,-4108.436,3244.198,5091.6802
100,150,0,-3505.032,4910.1699,11453.376
110,150,0,13093.3867,4821.2222,11848.3203
120,150,0,14258.124,6934.3379,-7068.3359
130,150,0,-3317.52,6661.4839,-12622.7197
140,150,0,-4126.4663,2851.144,-3180.8479
150,150,0,-3741.8262,-1115.4561,909.92
160,150,0,-4096.416,-4954.644,6433.3281
170,150,0,9549.8906,-7718.042,15491.8721
180,150,0,14028.542,-6157.8462,-4348.2559
190,150,0,185.108,-5526.7959,-14820.0801
200,150,0,-4233.4438,-3926.9341,-6278.4478
210,150,0,-3464.1641,-2566.27,-3163.4241
210,160,0,-2228.5081,-2941.2939,-2460.656
