x,y,z,Mx,My,Mz
106.0,127.0,-28.0,-4506.202741906035,-85384.65880980338,32329.608491594863
106.0,127.0,-23.0,-8574.408225917303,-107694.10876535939,27321.54825988963
106.0,127.0,-18.0,-14639.325162699564,-122208.23240826289,13791.616075723172
106.0,127.0,-13.0,-13842.750332087426,-127205.39031428254,4280.498043376088
106.0,127.0,-8.0,-14808.788967359136,-126028.80705321665,-8595.443181274297
106.0,127.0,-3.0,-13498.728671636485,-114093.20565591607,-19053.722406629266
106.0,132.0,-28.0,-6137.430616536736,-87885.3286839779,21397.932892346253
106.0,132.0,-23.0,-15440.63236034358,-106691.16260589664,21094.299031459366
106.0,132.0,-18.0,-18866.737461397675,-119293.03001315559,12542.724215123088
106.0,132.0,-13.0,-22336.077413928026,-124939.61186487145,503.181686606692
106.0,132.0,-8.0,-21052.290436590483,-121911.90885960415,-9038.543057635856
106.0,132.0,-3.0,-18172.09979327341,-111145.6628502446,-13577.011306590328
106.0,137.0,-28.0,-13488.664527003271,-89480.26956063135,11819.358892887238
106.0,137.0,-23.0,-18978.529047074975,-102039.22624838098,15348.666574378056
106.0,137.0,-18.0,-28860.648591335463,-119501.22507712085,10128.127202305546
106.0,137.0,-13.0,-31188.642526620246,-125191.20052827448,85.63539569384054
106.0,137.0,-8.0,-28478.59852460995,-117276.70332908395,-9361.87288709278
106.0,137.0,-3.0,-23902.100527285333,-107552.31394614874,-7613.118156816259
106.0,142.0,-28.0,-16522.507371851454,-93526.42524101873,5882.741400871977
106.0,142.0,-23.0,-28673.13512495221,-106180.52100756361,5310.083321211525
106.0,142.0,-18.0,-33502.48131449922,-112424.48303432316,3659.3753188863384
106.0,142.0,-13.0,-37848.550186385444,-116319.6746182057,-53.33818011813791
106.0,142.0,-8.0,-36020.91821576194,-114993.68669598414,-1909.8822906108624
106.0,142.0,-3.0,-30695.055372976538,-108912.74074775922,-4227.517477848697
106.0,147.0,-28.0,-24465.96720728395,-96121.38393509408,2612.20218403526
106.0,147.0,-23.0,-30764.673136022928,-103225.98296749352,1848.794134902818
106.0,147.0,-18.0,-41775.54804823022,-111363.22366540536,1154.8398535572273
106.0,147.0,-13.0,-44241.02096462498,-113395.44683813099,1525.0605761451293
106.0,147.0,-8.0,-40567.03632054984,-111870.28870400756,-570.7390407537459
106.0,147.0,-3.0,-36385.99874660327,-110380.96319564435,662.4734423685005
106.0,152.0,-28.0,-22341.46745171516,-94730.21401896623,1382.8156353694224
106.0,152.0,-23.0,-36179.284275770355,-105216.37480815056,193.1958991684769
106.0,152.0,-18.0,-42021.53194426098,-108660.96297246707,84.9556492020854
106.0,152.0,-13.0,-46103.56633369221,-111421.78891001851,201.5498322139807
106.0,152.0,-8.0,-44187.42150651113,-110928.8655264693,1840.028595857415
106.0,152.0,-3.0,-37551.14887615251,-108540.0037273832,174.80306780217157
106.0,157.0,-28.0,-26275.961168822665,-95513.31219320025,262.1914948266451
106.0,157.0,-23.0,-33095.19224385432,-101610.70768813339,-719.1429143570193
106.0,157.0,-18.0,-44095.85403382038,-108601.16641863968,-927.5920823156089
106.0,157.0,-13.0,-46339.11807473439,-110048.19469921422,1307.284078216761
106.0,157.0,-8.0,-42873.83067541837,-108958.01126474958,1140.265747307083
106.0,157.0,-3.0,-38429.94462079806,-108343.29652551337,3323.9159109672837
106.0,162.0,-28.0,-20944.7117475734,-91651.0912809007,-191.41156851970632
106.0,162.0,-23.0,-34311.60271760201,-101140.09494805042,-1453.627468114283
106.0,162.0,-18.0,-39560.35776529315,-104063.41538592525,-1213.2491765055256
106.0,162.0,-13.0,-43264.9845671742,-106747.75841269371,-245.52907859063743
106.0,162.0,-8.0,-41791.909160278716,-106321.7078719201,2015.840551394013
106.0,162.0,-3.0,-35243.32026190438,-104555.8393227561,888.9949741189778
106.0,167.0,-28.0,-23075.523559642705,-88685.90311719953,-697.4632946453382
106.0,167.0,-23.0,-29186.51082220553,-94177.82739411178,-1762.198072507656
106.0,167.0,-18.0,-38993.12288440964,-100583.22326888621,-1948.852211619428
106.0,167.0,-13.0,-40774.11625929195,-101774.6386070648,490.3723514647857
106.0,167.0,-8.0,-37609.39114318968,-101039.30925407438,765.7876770671505
106.0,167.0,-3.0,-33319.82414329542,-100840.9411662575,2962.2494700216926
106.0,172.0,-28.0,-18488.40982292144,-81282.68001466028,-1175.039173276593
106.0,172.0,-23.0,-30240.952675094155,-89772.9295385177,-2404.954433989237
106.0,172.0,-18.0,-34087.175965695795,-92228.95031744467,-2128.2105257347835
106.0,172.0,-13.0,-37161.56227778745,-94671.57808836694,-939.8528596798968
106.0,172.0,-8.0,-35997.69104017778,-94483.94983590572,1315.8780486663647
106.0,172.0,-3.0,-29864.548604032607,-92949.26913405885,278.93758923237505
106.0,177.0,-28.0,-23439.880369918836,-73204.81191483975,-2091.139403889546
106.0,177.0,-23.0,-27861.59654045208,-78802.38337975065,-2911.6789748316332
106.0,177.0,-18.0,-35314.77746678969,-85593.80345706076,-3237.0129070554135
106.0,177.0,-13.0,-36397.633898643595,-86918.98829701045,76.88713434393233
106.0,177.0,-8.0,-34418.55062314115,-84989.69445552555,351.70128187631593
106.0,177.0,-3.0,-30664.85132566919,-84417.67862072251,2307.646315298642
106.0,182.0,-28.0,-21304.78983053543,-66067.56788970035,-2478.8204668177927
106.0,182.0,-23.0,-31740.627804528085,-75291.7910117002,-3163.7578383376904
106.0,182.0,-18.0,-33393.59351078589,-76767.360178107,-3144.1509911676076
106.0,182.0,-13.0,-35800.16838201128,-78792.48542322995,-1252.476650540833
106.0,182.0,-8.0,-35354.334381138564,-79727.35872700541,1280.2513687918959
106.0,182.0,-3.0,-30405.29576858075,-77612.15695752572,-122.72923510206935
106.0,187.0,-28.0,-25480.307204186505,-63368.99181530691,-2051.3413649435665
106.0,187.0,-23.0,-28678.447222214945,-69287.84673481529,-2975.4359124004395
106.0,187.0,-18.0,-36715.10356050324,-73760.67882056147,-2548.5737218630825
106.0,187.0,-13.0,-37308.6629856469,-74694.85110360902,-449.51405361610654
106.0,187.0,-8.0,-34157.26704835769,-74839.31140394624,-689.8774660038217
106.0,187.0,-3.0,-31642.80169199091,-73999.6375214791,1672.1403249777427
106.0,192.0,-28.0,0.0,0.0,0.0
106.0,192.0,-23.0,0.0,0.0,0.0
106.0,192.0,-18.0,0.0,0.0,0.0
106.0,192.0,-13.0,0.0,0.0,0.0
106.0,192.0,-8.0,0.0,0.0,0.0
106.0,192.0,-3.0,0.0,0.0,0.0
106.0,197.0,-28.0,0.0,0.0,0.0
106.0,197.0,-23.0,0.0,0.0,0.0
106.0,197.0,-18.0,0.0,0.0,0.0
106.0,197.0,-13.0,0.0,0.0,0.0
106.0,197.0,-8.0,0.0,0.0,0.0
106.0,197.0,-3.0,0.0,0.0,0.0
106.0,202.0,-28.0,0.0,0.0,0.0
106.0,202.0,-23.0,0.0,0.0,0.0
106.0,202.0,-18.0,0.0,0.0,0.0
106.0,202.0,-13.0,0.0,0.0,0.0
106.0,202.0,-8.0,0.0,0.0,0.0
106.0,202.0,-3.0,0.0,0.0,0.0
106.0,207.0,-28.0,0.0,0.0,0.0
106.0,207.0,-23.0,0.0,0.0,0.0
106.0,207.0,-18.0,0.0,0.0,0.0
106.0,207.0,-13.0,0.0,0.0,0.0
106.0,207.0,-8.0,0.0,0.0,0.0
106.0,207.0,-3.0,0.0,0.0,0.0
106.0,212.0,-28.0,0.0,0.0,0.0
106.0,212.0,-23.0,0.0,0.0,0.0
106.0,212.0,-18.0,0.0,0.0,0.0
106.0,212.0,-13.0,0.0,0.0,0.0
106.0,212.0,-8.0,0.0,0.0,0.0
106.0,212.0,-3.0,0.0,0.0,0.0
106.0,217.0,-28.0,0.0,0.0,0.0
106.0,217.0,-23.0,0.0,0.0,0.0
106.0,217.0,-18.0,0.0,0.0,0.0
106.0,217.0,-13.0,0.0,0.0,0.0
106.0,217.0,-8.0,0.0,0.0,0.0
106.0,217.0,-3.0,0.0,0.0,0.0
106.0,222.0,-28.0,0.0,0.0,0.0
106.0,222.0,-23.0,0.0,0.0,0.0
106.0,222.0,-18.0,0.0,0.0,0.0
106.0,222.0,-13.0,0.0,0.0,0.0
106.0,222.0,-8.0,0.0,0.0,0.0
106.0,222.0,-3.0,0.0,0.0,0.0
106.0,227.0,-28.0,0.0,0.0,0.0
106.0,227.0,-23.0,0.0,0.0,0.0
106.0,227.0,-18.0,0.0,0.0,0.0
106.0,227.0,-13.0,0.0,0.0,0.0
