x,y,z,Bx,By,Bz
95,110,0,-3115.584,-3837.9861,2638.7681
97,110,0,-3160.0581,-4257.4839,2911.7439
99,110,0,-3163.6641,-4719.0522,3206.0159
101,110,0,-3114.3821,-5219.084,3521.584
103,110,0,-2994.1821,-5757.5801,3852.6399
105,110,0,-2792.2461,-6317.7119,4195.312
107,110,0,-2488.1401,-6883.854,4537.9839
109,110,0,-2075.854,-7430.7642,4867.104
111,110,0,-1550.5801,-7934.4023,5167.1841
113,110,0,-912.318,-8364.7178,5424.6719
115,110,0,-174.29,-8689.2578,5627.9521
117,110,0,633.454,-8888.79,5757.6641
119,110,0,1489.2781,-8945.2842,5808.0
121,110,0,2348.708,-8853.9326,5777.0239
123,110,0,3199.7241,-8603.916,5655.0562
125,110,0,4001.458,-8218.0742,5455.6479
127,110,0,4726.2642,-7712.0322,5184.6079
129,110,0,5348.8999,-7109.8301,4851.6162
131,110,0,5863.356,-6441.5181,4470.2241
133,110,0,6262.4199,-5735.9443,4057.856
135,110,0,6550.8999,-5011.1382,3624.1919
137,110,0,6742.0181,-4304.3623,3182.7839
139,110,0,6856.208,-3615.616,2739.4399
141,110,0,6903.0859,-2973.748,2309.6479
143,110,0,6909.0962,-2371.5461,1889.536
145,110,0,6885.0562,-1807.808,1482.976
147,110,0,6850.1982,-1280.13,1088.032
149,110,0,6816.542,-786.108,710.512
151,110,0,6792.502,-300.5,340.736
153,110,0,6774.4722,171.886,-29.04
155,110,0,6768.4619,650.282,-404.624
157,110,0,6768.4619,1143.1021,-784.08
159,110,0,6774.4722,1652.75,-1167.408
161,110,0,6774.4722,2188.842,-1556.5439
163,110,0,6755.2402,2763.3979,-1961.168
165,110,0,6703.5542,3374.0142,-2377.408
167,110,0,6604.9902,4021.8921,-2803.3279
169,110,0,6434.3062,4699.8203,-3235.0559
171,110,0,6185.4922,5388.5659,-3664.8479
173,110,0,5834.5083,6082.1201,-4083.0239
175,110,0,5377.748,6748.0283,-4479.9038
177,110,0,4815.2119,7358.644,-4836.1279
179,110,0,4155.314,7888.7261,-5142.0161
181,110,0,3418.488,8311.8301,-5384.0161
183,110,0,2615.552,8602.7139,-5554.3838
185,110,0,1771.748,8758.9746,-5645.376
187,110,0,935.156,8767.3877,-5656.9922
189,110,0,132.22,8638.7744,-5587.2959
191,110,0,-611.818,8380.3438,-5445.9678
193,110,0,-1277.7261,8016.1382,-5242.688
195,110,0,-1848.676,7566.5903,-4991.0078
197,110,0,-2313.8501,7061.75,-4702.5439
199,110,0,-2668.4399,6520.8501,-4388.9121
201,110,0,-2924.4661,5981.1523,-4075.28
203,110,0,-3093.948,5446.2622,-3755.8401
205,110,0,-3188.906,4929.4019,-3444.144
205,112,0,-3696.1501,5114.5103,-3862.3201
203,112,0,-3640.8582,5690.2681,-4243.7119
201,112,0,-3497.8201,6309.2983,-4644.4639
199,112,0,-3252.6121,6949.9644,-5049.0879
197,112,0,-2886.002,7602.6499,-5455.6479
195,112,0,-2388.374,8225.2861,-5840.9121
193,112,0,-1747.708,8790.2266,-6181.6479
191,112,0,-984.438,9257.8037,-6462.3682
189,112,0,-116.594,9593.1621,-6661.7759
187,112,0,834.188,9781.876,-6768.2559
185,112,0,1825.838,9799.9063,-6776.0
183,112,0,2821.094,9643.6465,-6661.7759
181,112,0,3775.4822,9301.0762,-6454.624
179,112,0,4642.124,8803.4482,-6152.6079
177,112,0,5410.2021,8169.9941,-5763.4722
175,112,0,6053.272,7443.9863,-5316.2559
173,112,0,6548.4961,6655.4741,-4818.7041
171,112,0,6910.2983,5844.124,-4299.856
169,112,0,7141.082,5047.1982,-3771.3279
167,112,0,7276.9082,4282.7261,-3248.6079
165,112,0,7334.604,3567.5361,-2743.312
163,112,0,7337.0083,2912.446,-2261.248
161,112,0,7310.564,2315.052,-1802.416
159,112,0,7269.6963,1768.1421,-1364.88
157,112,0,7236.04,1254.8881,-942.832
155,112,0,7214.4043,772.886,-530.464
153,112,0,7213.2021,307.712,-125.84
151,112,0,7232.4341,-153.856,278.784
149,112,0,7276.9082,-628.646,685.344
147,112,0,7335.8062,-1127.4761,1113.2
145,112,0,7407.9263,-1665.972,1560.416
143,112,0,7477.6421,-2262.1641,2036.672
141,112,0,7528.126,-2918.4561,2540.032
139,112,0,7534.1362,-3633.646,3060.8159
137,112,0,7470.4302,-4411.3398,3604.832
135,112,0,7316.5742,-5247.9321,4166.272
133,112,0,7037.71,-6103.7563,4719.9678
131,112,0,6619.4141,-6965.5903,5258.1758
129,112,0,6062.8882,-7769.728,5746.0479
127,112,0,5347.6982,-8507.7559,6179.7119
125,112,0,4511.106,-9129.1904,6534.0
123,112,0,3566.334,-9601.5762,6791.4878
121,112,0,2556.6541,-9898.4697,6942.4961
119,112,0,1528.944,-10005.4482,6977.3437
117,112,0,512.052,-9929.7227,6903.7759
115,112,0,-449.548,-9676.1006,6725.6641
113,112,0,-1312.584,-9262.6123,6456.5601
111,112,0,-2050.6121,-8725.3184,6111.9521
109,112,0,-2639.592,-8102.6821,5717.0078
107,112,0,-3086.7361,-7434.3701,5287.2158
105,112,0,-3395.6501,-6758.8462,4849.6802
103,112,0,-3580.7581,-6095.3423,4414.0801
101,112,0,-3669.7061,-5469.1001,3999.7759
99,112,0,-3676.918,-4899.3521,3612.5759
97,112,0,-3626.4341,-4374.0781,3250.5439
95,112,0,-3535.082,-3904.0962,2923.3599
95,114,0,-3969.0042,-3907.7021,3213.76
97,114,0,-4116.8501,-4406.5322,3599.0239
99,114,0,-4228.6362,-4978.6841,4030.752
101,114,0,-4280.3223,-5616.9463,4503.1357
103,114,0,-4250.272,-6335.7422,5025.856
105,114,0,-4107.2339,-7113.436,5579.5518
107,114,0,-3816.3501,-7933.2002,6148.7358
109,114,0,-3357.186,-8755.3682,6714.0479
111,114,0,-2709.3081,-9533.0625,7248.3838
113,114,0,-1873.9181,-10220.6064,7722.7041
115,114,0,-863.036,-10759.1025,8100.2241
117,114,0,276.46,-11102.874,8355.7764
119,114,0,1497.692,-11227.8818,8471.9355
121,114,0,2730.9441,-11117.2979,8442.8955
123,114,0,3946.166,-10773.5264,8257.04
125,114,0,5071.2383,-10212.1924,7935.6641
127,114,0,6065.292,-9466.9521,7480.7041
129,114,0,6891.0659,-8583.4824,6927.0078
131,114,0,7523.3184,-7611.064,6301.6802
133,114,0,7959.644,-6601.3843,5629.8882
135,114,0,8219.2764,-5601.3203,4938.7358
137,114,0,8327.4561,-4661.356,4257.2642
139,114,0,8322.6484,-3794.7141,3600.96
141,114,0,8242.1143,-3033.8481,2987.248
143,114,0,8123.1162,-2351.1121,2410.3201
145,114,0,7994.502,-1736.89,1868.24
147,114,0,7881.5142,-1181.566,1357.136
149,114,0,7781.748,-691.15,873.136
151,114,0,7712.0322,-230.784,406.56
153,114,0,7684.3862,219.966,-50.336
155,114,0,7697.6079,682.736,-514.976
157,114,0,7744.4863,1162.334,-987.36
159,114,0,7822.6162,1679.194,-1479.104
161,114,0,7912.7661,2242.9321,-1992.144
163,114,0,8006.522,2873.9819,-2534.2239
165,114,0,8072.6323,3579.5562,-3105.344
167,114,0,8084.6523,4371.6743,-3720.9919
169,114,0,8002.916,5247.9321,-4363.7441
171,114,0,7804.5859,6165.0581,-5018.1118
173,114,0,7439.1782,7147.0923,-5668.6079
175,114,0,6900.6821,8102.6821,-6301.6802
177,114,0,6180.6841,8989.7578,-6884.416
179,114,0,5287.5981,9765.0479,-7381.9678
181,114,0,4259.8882,10369.6543,-7771.104
183,114,0,3127.604,10789.1523,-8028.5918
185,114,0,1940.0281,10997.0986,-8156.3682
187,114,0,757.26,10979.0684,-8140.8799
189,114,0,-378.63,10750.6885,-7989.8721
191,114,0,-1402.734,10327.584,-7713.0239
193,114,0,-2299.426,9747.0186,-7337.4399
195,114,0,-3026.636,9049.8584,-6878.6079
197,114,0,-3578.354,8286.5879,-6371.376
199,114,0,-3959.3882,7500.48,-5842.8481
201,114,0,-4190.1719,6734.8062,-5318.1919
203,114,0,-4295.9482,6007.5962,-4809.0239
205,114,0,-4304.3623,5339.2842,-4332.7681
205,116,0,-4937.8159,5406.5962,-4843.8721
203,116,0,-5005.1279,6133.8062,-5426.6079
201,116,0,-4972.6743,6963.186,-6073.2319
199,116,0,-4792.374,7859.8779,-6748.896
197,116,0,-4429.3701,8807.0537,-7445.856
195,116,0,-3850.0061,9748.2197,-8127.3281
193,116,0,-3036.252,10629.2861,-8760.4004
191,116,0,-2003.734,11379.334,-9292.7998
189,116,0,-793.32,11928.6484,-9689.6797
187,116,0,555.324,12243.5723,-9918.1279
185,116,0,1980.896,12292.8545,-9962.6563
183,116,0,3400.458,12070.4844,-9819.3916
181,116,0,4761.1221,11581.2705,-9488.3359
179,116,0,5988.3643,10855.2617,-8986.9121
177,116,0,7038.9121,9917.7021,-8334.4795
175,116,0,7862.2822,8838.3066,-7573.6318
173,116,0,8436.8379,7691.5981,-6745.0239
171,116,0,8777.0039,6554.5063,-5900.9277
169,116,0,8916.4365,5485.9282,-5072.3198
167,116,0,8909.2246,4507.5,-4282.4321
165,116,0,8801.0439,3645.666,-3546.752
163,116,0,8644.7842,2901.6282,-2874.96
161,116,0,8472.8984,2263.366,-2253.5039
159,116,0,8315.4365,1711.6481,-1686.256
157,116,0,8184.418,1209.212,-1148.048
155,116,0,8102.6821,766.876,-636.944
153,116,0,8075.0361,350.984,-141.328
151,116,0,8107.4902,-58.898,352.352
149,116,0,8194.0342,-480.8,855.712
147,116,0,8333.4658,-953.186,1380.368
145,116,0,8518.5742,-1480.864,1955.36
143,116,0,8736.1357,-2090.2781,2584.5601
141,116,0,8954.9004,-2798.2561,3269.9041
139,116,0,9147.2197,-3628.8381,4019.136
137,116,0,9261.4102,-4591.6401,4830.3198
135,116,0,9251.7939,-5683.0562,5695.7119
133,116,0,9055.8682,-6870.6323,6592.0801
131,116,0,8621.9463,-8108.6924,7482.6401
129,116,0,7935.604,-9301.0762,8309.3115
127,116,0,6984.8223,-10399.7041,9043.0557
125,116,0,5817.6802,-11324.042,9643.2158
123,116,0,4470.2383,-12017.5967,10076.8799
121,116,0,3013.4141,-12445.5078,10316.9443
119,116,0,1519.328,-12578.9307,10355.6641
117,116,0,49.282,-12422.6699,10191.1035
115,116,0,-1324.604,-11986.3438,9838.752
113,116,0,-2522.998,-11308.416,9325.7119
111,116,0,-3507.436,-10441.7744,8684.8955
109,116,0,-4228.6362,-9474.1641,7968.5762
107,116,0,-4708.2339,-8459.6758,7213.5361
105,116,0,-4965.4619,-7480.0459,6472.0479
103,116,0,-5048.3999,-6568.9302,5767.3437
101,116,0,-5005.1279,-5756.3779,5120.7202
99,116,0,-4870.5039,-5042.3901,4537.9839
97,116,0,-4680.5879,-4418.5522,4015.2639
95,116,0,-4458.2183,-3881.2581,3552.5601
95,118,0,-4936.6143,-3756.25,3872.0
97,118,0,-5240.7202,-4304.3623,4406.3359
99,118,0,-5525.5942,-4954.644,5025.856
101,118,0,-5767.1963,-5715.5103,5732.4961
103,118,0,-5931.8701,-6617.0103,6537.8721
105,118,0,-5963.1221,-7657.9424,7438.1118
107,118,0,-5786.4282,-8821.4785,8413.8555
109,118,0,-5335.6782,-10057.1338,9430.2559
111,118,0,-4556.7822,-11286.7803,10419.5518
