x,y,z,Bx,By,Bz
80,120,0,-9269.8242,168.432,-2467.7061
82,120,0,-10510.2881,118.096,-2924.4661
84,120,0,-12020.0,1.936,-3497.8201
86,120,0,-13475.6221,-228.448,-4214.2119
88,120,0,-13865.0703,-667.92,-5115.7119
90,120,0,-13895.1201,-1500.4,-6255.208
92,120,0,-13907.1406,-3111.1521,-7684.3862
94,120,0,-13919.1602,-6433.3281,-9488.5879
94,122,0,-13914.3525,-9196.0,-8731.3281
92,122,0,-13898.7266,-5242.688,-7305.7563
90,122,0,-13886.7061,-3091.792,-6067.6963
88,122,0,-13847.04,-1893.408,-5036.3799
86,122,0,-13274.8887,-1188.704,-4184.1621
84,122,0,-11845.71,-778.272,-3497.8201
82,122,0,-10418.9365,-524.656,-2932.8801
80,122,0,-9212.1279,-373.648,-2477.322
80,124,0,-9059.4746,-863.456,-2461.696
82,124,0,-10167.7178,-1091.9041,-2900.426
84,124,0,-11450.252,-1422.96,-3434.114
86,124,0,-12815.7246,-1920.512,-4075.9822
88,124,0,-13693.1846,-2683.2959,-4847.666
90,124,0,-13863.8682,-3877.8079,-5756.3779
92,124,0,-13886.7061,-5777.0239,-6782.8862
94,124,0,-13893.918,-8268.6563,-7766.1221
94,126,0,-13871.0801,-6799.2319,-7120.6479
92,126,0,-13857.8584,-5345.2959,-6353.772
90,126,0,-13820.5967,-4038.4961,-5494.3423
88,126,0,-13411.916,-3087.9199,-4696.2139
86,126,0,-12362.5703,-2400.6399,-3984.6301
84,126,0,-11087.248,-1910.832,-3383.6301
82,126,0,-9908.0859,-1550.736,-2866.77
80,126,0,-8861.1445,-1289.376,-2437.656
80,128,0,-8625.5518,-1653.344,-2399.1921
82,128,0,-9583.5459,-1934.064,-2806.6702
84,128,0,-10644.9121,-2282.5439,-3291.0762
86,128,0,-11800.0342,-2718.144,-3858.4202
88,128,0,-12886.6426,-3250.5439,-4511.106
90,128,0,-13588.6104,-3877.8079,-5234.71
92,128,0,-13824.2021,-4536.0479,-5981.1523
94,128,0,-13843.4346,-4960.0317,-6611.0
94,130,0,-13845.8379,-3759.7119,-6347.7622
92,130,0,-13758.0918,-3868.1279,-5772.0039
90,130,0,-13402.2998,-3676.4639,-5074.8442
88,130,0,-12552.4863,-3327.9839,-4396.916
86,130,0,-11414.1924,-2940.7839,-3771.876
84,130,0,-10326.3818,-2578.752,-3229.7742
82,130,0,-9304.6826,-2255.4399,-2758.5901
80,130,0,-8381.5459,-1974.72,-2359.5261
80,132,0,-8120.7119,-2261.248,-2309.042
82,132,0,-8992.1621,-2540.032,-2690.0759
84,132,0,-9969.3877,-2843.9839,-3142.0281
86,132,0,-11048.7842,-3157.616,-3668.5042
88,132,0,-12229.1484,-3440.272,-4267.1001
90,132,0,-13284.5039,-3618.384,-4931.8062
92,132,0,-13791.748,-3550.624,-5615.7441
94,132,0,-13862.666,-3142.1279,-6193.9062
94,134,0,-13873.4844,-3269.9041,-6128.998
92,134,0,-13843.4346,-3668.72,-5549.6343
