x,y,z,Bx,By,Bz
189,120,0,-13916.7559,5376.272,8320.2441
191,120,0,-13907.1406,2700.72,6834.5723
193,120,0,-13883.1006,1359.072,5624.1582
195,120,0,-13838.626,636.944,4639.7202
197,120,0,-13011.6504,247.808,3856.0161
199,120,0,-11398.5664,34.848,3221.3601
201,120,0,-9952.5605,-79.376,2711.7122
203,120,0,-8728.9238,-135.52,2287.406
205,120,0,-7720.4463,-158.752,1946.0381
207,120,0,-6862.2183,-162.624,1665.972
207,122,0,-6829.7642,216.832,1674.386
205,122,0,-7643.5181,284.592,1948.442
203,122,0,-8611.1279,387.2,2282.5981
201,122,0,-9749.4219,545.952,2688.874
199,122,0,-11092.0566,795.696,3179.29
197,122,0,-12636.626,1184.832,3777.886
195,122,0,-13711.2139,1819.84,4509.9043
193,122,0,-13874.6865,2863.344,5398.1821
191,122,0,-13898.7266,4638.6558,6442.7202
189,122,0,-13913.1504,7769.168,7629.0942
189,124,0,-13891.5146,7982.1279,6941.5503
191,124,0,-13879.4941,5442.0962,6042.4541
193,124,0,-13850.6465,3769.3921,5173.4082
195,124,0,-13439.5625,2669.7439,4390.9062
197,124,0,-12184.6738,1943.744,3720.1902
199,124,0,-10768.7178,1450.064,3149.24
201,124,0,-9547.4863,1117.072,2679.2581
203,124,0,-8476.5039,877.008,2281.396
205,124,0,-7558.1763,704.704,1950.8461
207,124,0,-6758.8462,578.864,1674.386
207,126,0,-6618.2119,902.176,1662.3661
205,126,0,-7351.4321,1064.8,1924.402
203,126,0,-8200.0439,1277.76,2240.5281
201,126,0,-9166.4521,1558.48,2617.9561
199,126,0,-10260.2725,1936.0,3066.302
197,126,0,-11489.918,2449.04,3595.1821
195,126,0,-12762.8359,3151.8079,4211.8081
193,126,0,-13615.0547,4115.936,4900.5542
191,126,0,-13851.8486,5426.6079,5645.7939
189,126,0,-13866.2725,7105.1201,6360.9839
189,128,0,-13826.6064,6048.064,5982.354
191,128,0,-13636.6904,5107.168,5371.7383
193,128,0,-13086.1738,4208.8638,4713.042
195,128,0,-12096.9277,3438.3359,4079.5881
197,128,0,-10946.6143,2820.752,3511.042
199,128,0,-9852.7939,2332.8799,3013.4141
201,128,0,-8871.9619,1951.488,2590.3101
203,128,0,-7964.4521,1641.728,2220.094
205,128,0,-7161.5161,1397.792,1908.776
207,128,0,-6429.498,1200.3199,1638.326
207,130,0,-6232.3701,1463.616,1614.286
205,130,0,-6881.4502,1674.64,1861.8981
203,130,0,-7614.6699,1932.1279,2159.9941
201,130,0,-8435.6357,2241.8879,2508.574
199,130,0,-9332.3281,2611.6641,2913.6479
197,130,0,-10311.958,3051.136,3382.428
195,130,0,-11366.1123,3568.0481,3922.126
193,130,0,-12447.9121,4143.04,4524.3281
191,130,0,-13261.666,4721.9038,5142.1562
189,130,0,-13670.3467,5165.248,5722.7222
189,132,0,-13621.0645,4661.8882,5589.3003
191,132,0,-12952.752,4489.584,5019.5522
193,132,0,-11980.334,4125.6162,4414.9463
195,132,0,-10908.1504,3688.0801,3839.188
197,132,0,-9908.0859,3258.2881,3321.126
199,132,0,-8980.1426,2857.5359,2864.366
201,132,0,-8131.5303,2501.312,2472.5142
203,132,0,-7338.21,2193.488,2120.3281
205,132,0,-6638.646,1926.3199,1835.454
207,132,0,-6014.8081,1697.8719,1590.246
207,134,0,-5782.8223,1908.896,1558.994
205,134,0,-6356.1763,2143.1521,1792.182
203,134,0,-7005.2563,2412.2561,2068.6421
201,134,0,-7726.4561,2716.208,2394.384
199,134,0,-8523.3818,3055.0081,2773.0142
197,134,0,-9415.2666,3418.9761,3214.1479
195,134,0,-10405.7139,3796.4961,3718.988
193,134,0,-11515.1602,4154.6558,4287.5342
191,134,0,-12720.7666,4429.5679,4904.1602
189,134,0,-13617.458,4520.5601,5497.9482
189,136,0,-13615.0547,4696.7358,5447.4639
191,136,0,-12574.1221,4561.2158,4841.6562
193,136,0,-11245.9121,4295.9839,4229.8379
195,136,0,-10089.5879,3961.0559,3661.292
197,136,0,-9094.332,3604.832,3158.856
199,136,0,-8214.4678,3250.5439,2723.7319
201,136,0,-7419.9463,2919.488,2341.4961
203,136,0,-6721.584,2613.6001,2024.1681
205,136,0,-6098.9482,2338.688,1753.718
207,136,0,-5546.0283,2094.752,1522.9341
207,138,0,-5288.8003,2263.1841,1484.47
205,138,0,-5802.0542,2510.9919,1700.8301
203,138,0,-6387.4282,2791.7119,1964.068
201,138,0,-7044.9224,3097.6001,2271.78
199,138,0,-7785.354,3428.656,2633.582
197,138,0,-8639.9766,3779.072,3057.8879
195,138,0,-9638.8379,4141.104,3555.5161
193,138,0,-10828.8184,4495.3921,4122.8599
191,138,0,-12280.834,4820.6401,4752.708
189,138,0,-13568.1758,5089.7441,5382.5562
189,140,0,-13423.9365,5573.7441,5310.436
191,140,0,-11957.4961,5167.1841,4681.79
193,140,0,-10504.2783,4766.4321,4057.9521
195,140,0,-9308.2881,4367.6162,3490.6082
197,140,0,-8314.2344,3980.416,2998.99
199,140,0,-7456.0063,3618.384,2569.876
201,140,0,-6736.0083,3279.584,2218.8921
203,140,0,-6100.1499,2962.0801,1915.988
205,140,0,-5535.21,2675.552,1659.962
207,140,0,-5027.9663,2412.2561,1442.4
207,142,0,-4756.314,2555.52,1400.3301
205,142,0,-5209.4683,2820.752,1601.0641
203,142,0,-5731.1362,3116.96,1845.0701
201,142,0,-6327.3281,3440.272,2135.9541
199,142,0,-7013.6699,3794.5601,2480.928
197,142,0,-7815.4043,4175.9521,2889.6082
195,142,0,-8772.1963,4588.3198,3372.812
193,142,0,-9936.9346,5033.6001,3930.54
191,142,0,-11370.9199,5513.728,4548.3682
189,142,0,-13004.4385,6051.936,5186.6299
189,144,0,-12493.5879,6487.5361,5050.8042
191,144,0,-10814.3945,5854.4639,4428.168
193,144,0,-9457.3359,5304.6401,3827.168
195,144,0,-8344.2842,4810.96,3285.0662
197,144,0,-7425.9561,4365.6802,2816.2861
199,144,0,-6657.8779,3961.0559,2416.02
201,144,0,-6002.7881,3595.1521,2081.864
203,144,0,-5429.4341,3260.2239,1798.192
205,144,0,-4933.0083,2954.3359,1556.5901
207,144,0,-4493.0762,2681.3601,1352.25
207,146,0,-4219.02,2785.9041,1302.968
205,146,0,-4615.6802,3068.5601,1491.682
203,146,0,-5074.8442,3384.1279,1717.6581
201,146,0,-5603.7241,3732.6079,1989.3101
199,146,0,-6214.3403,4114.0,2310.2441
197,146,0,-6937.9443,4539.9199,2694.884
195,146,0,-7798.5762,5012.3042,3148.0381
193,146,0,-8853.9326,5544.7041,3676.918
191,146,0,-10140.0723,6146.7998,4265.8979
189,146,0,-11738.7324,6843.7598,4881.3223
189,148,0,-10928.584,7141.9038,4690.2041
191,148,0,-9468.1543,6410.0962,4106.0322
193,148,0,-8269.7598,5767.3437,3542.2939
195,148,0,-7287.7261,5198.1602,3035.05
197,148,0,-6484.79,4700.6079,2601.1279
199,148,0,-5808.064,4255.3281,2233.3162
201,148,0,-5238.3159,3860.384,1923.2001
203,148,0,-4739.4863,3496.416,1658.76
205,148,0,-4306.7661,3173.104,1435.188
207,148,0,-3929.3381,2882.7041,1248.8781
207,150,0,-3638.4541,2958.208,1194.788
205,150,0,-3976.2161,3256.3521,1365.472
203,150,0,-4364.4619,3587.408,1572.2161
201,150,0,-4816.4141,3959.1199,1819.828
199,150,0,-5334.4761,4367.6162,2111.9141
197,150,0,-5952.3042,4828.3838,2462.8979
195,150,0,-6693.938,5351.104,2877.5881
193,150,0,-7595.438,5943.52,3361.9941
191,150,0,-8695.2686,6615.312,3901.6921
189,150,0,-10055.9326,7374.2241,4461.8242
189,152,0,-9188.0879,7571.6958,4227.4341
191,152,0,-7954.8359,6787.6157,3704.564
