x,y,z,Bx,By,Bz
79,185,28,966.408,-1645.6,240.4
83,185,28,1328.2101,-1792.736,211.552
87,185,28,1799.394,-1936.0,153.856
91,185,28,2411.2122,-2054.0959,50.484
95,185,28,3247.804,-2116.0481,-127.412
99,185,28,4509.9043,-2003.76,-581.768
103,185,28,5913.8403,-1448.1281,-2057.824
107,185,28,6469.1641,-453.024,-4372.876
111,185,28,6042.4541,737.616,-7094.2041
115,185,28,4038.72,1841.136,-10104.0117
119,185,28,-613.02,2313.52,-11535.5938
123,185,28,-4652.9419,2007.632,-9082.3125
127,185,28,-6016.0103,1498.464,-6090.5342
131,185,28,-6347.7622,1008.656,-3881.2581
135,185,28,-6387.4282,555.632,-2172.0142
139,185,28,-6354.9741,133.584,-723.604
143,185,28,-6316.5103,-271.04,623.838
147,185,28,-6280.4502,-683.408,2032.582
151,185,28,-6186.6943,-1113.2,3638.4541
155,185,28,-5866.9619,-1572.032,5663.8242
159,185,28,-4787.5659,-2019.248,8352.6982
163,185,28,-1573.418,-2241.8879,11021.1387
167,185,28,2944.9001,-1812.0959,10487.4502
171,185,28,5253.9419,-805.376,7886.3223
175,185,28,5960.7183,329.12,5335.6782
179,185,28,5751.5703,1328.0959,3002.5959
183,185,28,4618.084,1966.976,1146.708
187,185,28,3230.9761,2150.896,379.832
191,185,28,2309.042,2098.624,133.422
195,185,28,1679.194,1966.976,3.606
199,185,28,1218.828,1812.0959,-72.12
203,185,28,876.258,1653.344,-116.594
203,189,28,1004.872,1372.624,31.252
199,189,28,1339.0281,1465.552,117.796
195,189,28,1772.9501,1541.056,251.218
191,189,28,2346.304,1575.9039,466.376
187,189,28,3121.594,1521.696,840.198
183,189,28,4136.082,1239.04,1647.942
179,189,28,4856.0801,555.632,3178.0881
175,189,28,4874.1099,-433.664,4984.6938
171,189,28,4190.1719,-1523.632,6945.1562
167,189,28,2336.688,-2412.2561,8952.4961
163,189,28,-1340.23,-2590.3679,9578.7383
159,189,28,-4282.7261,-2152.832,7451.1982
155,189,28,-5368.1323,-1653.344,5113.3081
151,189,28,-5725.126,-1182.896,3311.51
147,189,28,-5845.3262,-745.36,1875.12
143,189,28,-5897.0122,-321.376,607.01
139,189,28,-5928.2642,100.672,-610.616
135,189,28,-5943.8901,538.208,-1911.1801
131,189,28,-5881.3862,997.04,-3444.9321
127,189,28,-5537.6143,1473.296,-5409.0
123,189,28,-4237.0503,1982.464,-8022.1479
119,189,28,-671.918,2414.1919,-10010.2559
115,189,28,3092.7461,2110.24,-8845.5186
111,189,28,4826.0303,1151.92,-6584.5562
107,189,28,5348.8999,65.824,-4529.1362
103,189,28,5132.54,-861.52,-2692.48
99,189,28,4252.6763,-1399.728,-1312.584
95,189,28,3257.4202,-1560.416,-632.252
91,189,28,2494.1501,-1568.16,-295.692
87,189,28,1911.1801,-1521.696,-100.968
83,189,28,1452.016,-1448.1281,18.03
79,189,28,1092.618,-1359.072,88.948
79,193,28,1161.1321,-1086.0959,-20.434
83,193,28,1503.702,-1120.944,-114.19
87,193,28,1935.2201,-1128.688,-264.44
91,193,28,2476.1201,-1097.712,-512.052
95,193,28,3151.644,-998.976,-932.752
99,193,28,3917.3181,-762.784,-1708.042
103,193,28,4395.7139,-253.616,-2914.8501
107,193,28,4368.0679,547.888,-4281.5239
111,193,28,3839.188,1450.064,-5797.2461
115,193,28,2444.8682,2214.7839,-7520.9141
119,193,28,-454.356,2445.168,-8632.7637
123,193,28,-3652.8782,1928.256,-7364.6543
127,193,28,-5042.3901,1378.432,-5021.9561
131,193,28,-5412.606,919.6,-3194.916
135,193,28,-5490.7363,474.32,-1792.182
139,193,28,-5493.1401,42.592,-609.414
143,193,28,-5471.5039,-375.584,500.032
147,193,28,-5422.2222,-784.08,1658.76
151,193,28,-5286.396,-1186.7679,2964.1321
155,193,28,-4888.5342,-1626.24,4602.458
159,193,28,-3726.2,-2174.1279,6672.3022
163,193,28,-983.236,-2785.9041,8107.4902
167,193,28,1778.9601,-2718.144,7328.5942
171,193,28,3191.3101,-1955.36,5880.1841
175,193,28,3851.208,-989.296,4520.7222
179,193,28,4018.2861,-94.864,3200.926
183,193,28,3651.676,565.312,1964.068
187,193,28,2942.4961,921.536,1153.92
191,193,28,2306.6379,1078.3521,710.382
195,193,28,1799.394,1132.5599,439.932
199,193,28,1396.724,1132.5599,265.642
203,193,28,1076.9921,1099.6479,151.452
203,197,28,1098.6281,846.032,229.582
199,197,28,1384.704,828.608,354.59
195,197,28,1735.688,768.592,539.698
191,197,28,2159.9941,640.816,819.764
187,197,28,2652.814,408.496,1257.292
183,197,28,3134.8162,13.552,1978.4921
179,197,28,3280.2581,-561.44,2971.344
175,197,28,2988.1721,-1285.504,3931.7422
171,197,28,2365.5361,-2069.584,4827.2319
167,197,28,1324.604,-2718.144,5761.186
163,197,28,-537.294,-2869.1521,6532.8701
159,197,28,-2929.2742,-2247.696,6038.8481
155,197,28,-4378.8862,-1566.224,4359.6543
151,197,28,-4894.5439,-1155.792,2785.0339
147,197,28,-5041.188,-816.992,1530.146
143,197,28,-5068.834,-443.344,449.548
139,197,28,-5071.2383,-38.72,-574.556
135,197,28,-5056.814,391.072,-1670.78
131,197,28,-4966.6641,847.968,-2990.5762
127,197,28,-4556.7822,1366.816,-4731.0723
123,197,28,-3051.8782,2052.1599,-6672.3022
119,197,28,-407.478,2466.4639,-7264.8882
115,197,28,1815.02,2143.1521,-6381.418
111,197,28,3008.606,1473.296,-5097.6821
107,197,28,3560.324,772.464,-4009.8721
103,197,28,3801.926,203.28,-2992.98
99,197,28,3581.96,-189.728,-1893.15
95,197,28,2979.7581,-480.128,-1110.6481
91,197,28,2390.7781,-660.176,-659.898
87,197,28,1902.766,-764.72,-389.448
83,197,28,1506.1061,-815.056,-216.36
79,197,28,1185.172,-832.48,-105.776
79,201,28,1163.536,-605.968,-155.058
83,201,28,1449.6121,-547.888,-263.238
87,201,28,1798.192,-449.152,-429.114
91,201,28,2221.2961,-290.4,-686.342
95,201,28,2722.53,-50.336,-1101.032
99,201,28,3245.4001,267.168,-1807.808
103,201,28,3461.76,559.504,-2905.2341
107,201,28,3053.0801,778.272,-3881.2581
111,201,28,2384.7681,1188.704,-4663.7603
115,201,28,1248.8781,1746.272,-5514.7759
119,201,28,-549.314,2222.5281,-6002.7881
123,201,28,-2480.928,2249.6321,-5636.1782
127,201,28,-3857.218,1647.536,-4424.562
131,201,28,-4408.936,921.536,-2977.354
135,201,28,-4584.4282,346.544,-1742.9
139,201,28,-4640.9219,-121.968,-701.968
143,201,28,-4678.1841,-540.144,266.844
147,201,28,-4710.6382,-896.368,1328.2101
151,201,28,-4582.0239,-1182.896,2645.6021
155,201,28,-3825.9661,-1589.4559,4199.7881
159,201,28,-2185.2361,-2222.5281,5213.0742
163,201,28,-363.004,-2569.072,5137.3481
167,201,28,907.51,-2439.3601,4553.1763
171,201,28,1714.052,-1997.952,3994.2461
175,201,28,2311.446,-1436.512,3432.9121
179,201,28,2694.884,-888.624,2705.7021
183,201,28,2656.4202,-394.944,1872.7161
187,201,28,2331.8801,5.808,1263.302
191,201,28,1964.068,280.72,866.642
195,201,28,1623.902,454.96,597.394
199,201,28,1328.2101,561.44,413.488
203,201,28,1079.396,619.52,280.066
203,205,28,1022.902,425.92,304.106
199,205,28,1230.848,340.736,424.306
195,205,28,1466.4401,209.088,590.182
191,205,28,1724.87,11.616,822.168
187,205,28,1988.108,-271.04,1151.516
183,205,28,2205.6699,-656.304,1631.114
179,205,28,2224.9021,-1105.4561,2300.6279
175,205,28,1855.8881,-1508.144,2947.304
171,205,28,1299.3621,-1870.176,3353.5801
167,205,28,680.332,-2148.96,3755.0481
163,205,28,-269.248,-2253.5039,4281.5239
159,205,28,-1720.062,-2135.408,4487.0659
155,205,28,-3285.0662,-1800.48,3911.3081
151,205,28,-4246.666,-1428.7679,2489.342
147,205,28,-4362.0581,-1039.632,1078.194
143,205,28,-4261.0898,-598.224,38.464
139,205,28,-4168.5361,-106.48,-858.228
135,205,28,-4020.6902,466.576,-1770.546
131,205,28,-3714.1802,1144.176,-2662.4299
127,205,28,-3214.1479,1767.568,-3480.9919
123,205,28,-2402.7981,2011.504,-4377.6841
119,205,28,-965.206,1817.9039,-5198.6499
115,205,28,679.13,1430.704,-5326.062
111,205,28,1992.916,1136.432,-4904.1602
107,205,28,2924.4661,1115.136,-4065.1641
103,205,28,3249.0061,1018.336,-2703.2981
99,205,28,2898.022,654.368,-1646.74
95,205,28,2431.646,292.336,-1045.74
91,205,28,2014.552,13.552,-683.938
87,205,28,1659.962,-185.856,-450.75
83,205,28,1361.866,-321.376,-292.086
79,205,28,1110.6481,-410.432,-182.704
79,209,28,1032.5181,-247.808,-192.32
83,209,28,1240.464,-139.392,-283.672
87,209,28,1485.672,15.488,-417.094
91,209,28,1765.738,232.32,-605.808
95,209,28,2092.6821,528.528,-890.682
99,209,28,2467.7061,923.472,-1346.24
103,209,28,2842.73,1417.152,-2141.9641
107,209,28,2892.012,1825.6479,-3505.032
111,209,28,2057.824,1769.504,-4901.7559
115,209,28,530.082,1531.376,-5415.0103
119,209,28,-1128.678,1426.832,-5012.3403
123,209,28,-2432.8481,1391.984,-3876.45
127,209,28,-2894.416,1353.264,-2753.782
131,209,28,-3130.0081,1064.8,-2151.5801
135,209,28,-3404.064,580.8,-1611.8821
139,209,28,-3612.01,50.336,-984.438
143,209,28,-3750.24,-466.576,-266.844
147,209,28,-3862.0261,-1014.464,622.636
151,209,28,-3823.562,-1556.5439,1863.1
155,209,28,-2974.95,-1926.3199,3276.6521
159,209,28,-1543.368,-2119.9199,3834.3801
163,209,28,-310.116,-2139.28,3679.322
167,209,28,498.83,-2007.632,3222.562
171,209,28,1025.306,-1815.968,2884.8
175,209,28,1534.954,-1577.84,2474.918
179,209,28,1795.7881,-1219.6801,1896.756
183,209,28,1789.7781,-813.12,1401.532
187,209,28,1658.76,-456.896,1037.326
191,209,28,1483.2681,-185.856,770.482
195,209,28,1295.756,19.36,570.95
199,209,28,1113.052,164.56,421.902
203,209,28,943.57,267.168,308.914
203,213,28,854.622,143.264,299.298
199,213,28,985.64,36.784,394.256
195,213,28,1121.4661,-110.352,518.062
191,213,28,1251.282,-303.952,676.726
187,213,28,1360.6641,-553.696,881.066
183,213,28,1424.37,-861.52,1145.506
179,213,28,1407.542,-1219.6801,1485.672
175,213,28,1242.868,-1575.9039,1920.796
171,213,28,859.43,-1831.4559,2367.9399
167,213,28,353.388,-1997.952,2714.116
163,213,28,-361.802,-2147.0239,3043.4641
159,213,28,-1396.724,-2158.6399,3126.4021
155,213,28,-2640.7939,-1937.936,2571.0781
151,213,28,-3275.45,-1440.384,1298.16
147,213,28,-3271.844,-815.056,352.186
143,213,28,-3241.7939,-240.064,-320.934
139,213,28,-3172.0781,207.152,-964.004
135,213,28,-3000.1921,534.336,-1512.116
131,213,28,-2830.71,793.76,-1980.896
127,213,28,-2792.2461,960.256,-2693.6821
123,213,28,-2335.4861,1161.6,-4109.6382
119,213,28,-882.268,1637.856,-5219.084
115,213,28,873.854,2255.4399,-5234.71
111,213,28,2176.822,2545.8401,-4013.478
107,213,28,2485.7361,2168.3201,-2550.644
103,213,28,2299.426,1572.032,-1622.7001
99,213,28,2022.9661,1064.8,-1092.618
95,213,28,1757.324,677.6,-765.674
91,213,28,1518.126,383.328,-542.102
87,213,28,1302.968,164.56,-387.044
83,213,28,1110.6481,1.936,-272.854
79,213,28,938.762,-118.096,-189.916
79,217,28,837.794,-21.296,-175.492
83,217,28,971.216,98.736,-241.602
87,217,28,1115.4561,257.488,-329.348
91,217,28,1269.312,464.64,-445.942
95,217,28,1430.38,733.744,-604.606
99,217,28,1595.0541,1082.224,-825.774
103,217,28,1750.1121,1529.4399,-1149.1121
107,217,28,1865.504,2094.752,-1667.1741
111,217,28,1818.626,2714.272,-2539.8259
115,217,28,1246.474,3066.624,-3842.7942
119,217,28,-147.846,2667.8081,-4811.606
123,217,28,-1783.7681,1848.88,-4475.0459
127,217,28,-2572.28,1277.76,-3145.634
131,217,28,-2652.814,1055.12,-2211.6799
135,217,28,-2757.3879,847.968,-1498.894
139,217,28,-2771.812,478.192,-805.34
143,217,28,-2708.106,-11.616,-274.056
147,217,28,-2661.228,-557.568,203.138
151,217,28,-2614.3501,-1186.7679,812.552
155,217,28,-2203.2661,-1815.968,1705.6381
159,217,28,-1284.938,-2123.792,2206.8721
163,217,28,-463.972,-2125.728,2253.75
167,217,28,180.3,-1984.4,2071.0461
171,217,28,628.646,-1763.696,1770.546
175,217,28,911.116,-1471.36,1453.218
179,217,28,1058.962,-1155.792,1176.7581
183,217,28,1109.446,-857.648,945.974
187,217,28,1095.022,-594.352,753.654
191,217,28,1037.326,-375.584,597.394
195,217,28,953.186,-197.472,467.578
199,217,28,857.026,-58.08,363.004
203,217,28,758.462,48.4,280.066
203,221,28,665.908,-19.36,257.228
199,221,28,738.028,-120.032,323.338
195,221,28,801.734,-245.872,405.074
191,221,28,851.016,-402.688,503.638
187,221,28,873.854,-588.544,619.03
183,221,28,855.824,-803.44,753.654
179,221,28,782.502,-1039.632,907.51
175,221,28,633.454,-1287.4399,1075.79
171,221,28,388.246,-1527.504,1250.0801
167,221,28,18.03,-1721.104,1405.1381
163,221,28,-498.83,-1808.224,1467.642
159,221,28,-1110.6481,-1721.104,1347.442
155,221,28,-1687.608,-1395.856,1001.266
151,221,28,-1995.3201,-880.88,557.728
147,221,28,-2121.53,-377.52,207.946
143,221,28,-2220.094,94.864,-129.816
139,221,28,-2289.8101,561.44,-513.254
135,221,28,-2345.1021,1076.416,-1002.468
131,221,28,-2342.698,1618.496,-1709.244
127,221,28,-2105.9041,2212.8479,-2698.49
123,221,28,-1068.578,2913.6799,-3422.094
119,221,28,191.118,3213.76,-3017.02
115,221,28,930.348,2925.2959,-2194.8521
111,221,28,1228.444,2385.1521,-1548.176
107,221,28,1308.978,1854.688,-1126.274
103,221,28,1295.756,1403.6,-843.804
99,221,28,1234.454,1037.696,-644.272
95,221,28,1147.91,739.552,-492.82
91,221,28,1048.144,505.296,-377.428
87,221,28,943.57,315.568,-287.278
83,221,28,837.794,166.496,-215.158
79,221,28,735.624,50.336,-158.664
79,225,28,638.262,98.736,-140.634
83,225,28,711.584,203.28,-181.502
87,225,28,784.906,336.864,-234.39
91,225,28,851.016,499.488,-298.096
95,225,28,903.904,698.896,-376.226
99,225,28,937.56,938.96,-473.588
103,225,28,936.358,1221.616,-592.586
107,225,28,885.874,1550.736,-742.836
111,225,28,754.856,1918.576,-933.954
115,225,28,491.618,2298.032,-1179.162
119,225,28,21.636,2598.1121,-1459.228
123,225,28,-693.554,2627.1521,-1628.7101
127,225,28,-1399.1281,2210.9121,-1424.37
131,225,28,-1710.446,1599.136,-1013.286
135,225,28,-1799.394,1055.12,-663.504
139,225,28,-1815.02,588.544,-367.812
143,225,28,-1783.7681,172.304,-82.938
147,225,28,-1685.204,-218.768,182.704
151,225,28,-1543.368,-604.032,432.72
155,225,28,-1286.14,-979.616,692.352
159,225,28,-905.106,-1260.3359,883.47
163,225,28,-482.002,-1384.24,973.62
167,225,28,-102.17,-1364.88,968.812
171,225,28,198.33,-1254.528,906.308
175,225,28,417.094,-1093.84,816.158
179,225,28,561.334,-911.856,713.988
183,225,28,647.878,-729.872,611.818
187,225,28,686.342,-559.504,514.456
191,225,28,687.544,-404.624,427.912
195,225,28,664.706,-272.976,350.984
199,225,28,626.242,-158.752,283.672
203,225,28,575.758,-65.824,227.178
203,229,28,496.426,-94.864,200.734
199,229,28,528.88,-178.112,245.208
195,229,28,550.516,-274.912,295.692
191,229,28,556.526,-385.264,354.59
187,229,28,539.698,-509.168,417.094
183,229,28,492.82,-642.752,485.608
179,229,28,407.478,-780.208,555.324
175,229,28,275.258,-907.984,620.232
171,229,28,92.554,-1010.592,673.12
167,229,28,-143.038,-1068.672,701.968
163,229,28,-421.902,-1053.184,694.756
159,229,28,-716.392,-942.832,639.464
155,229,28,-983.236,-737.616,534.89
151,229,28,-1189.98,-458.832,390.65
147,229,28,-1328.2101,-147.136,224.774
143,229,28,-1406.34,189.728,34.858
139,229,28,-1415.9561,544.016,-161.068
135,229,28,-1360.6641,911.856,-347.378
131,229,28,-1226.04,1295.184,-527.678
127,229,28,-961.6,1655.28,-688.746
123,229,28,-554.122,1881.792,-777.694
119,229,28,-127.412,1889.536,-762.068
115,229,28,210.35,1740.464,-687.544
111,229,28,443.538,1517.824,-596.192
107,229,28,588.98,1277.76,-508.446
103,229,28,670.716,1043.504,-426.71
99,229,28,704.372,830.544,-354.59
95,229,28,706.776,642.752,-292.086
91,229,28,683.938,478.192,-235.592
87,229,28,646.676,340.736,-188.714
83,229,28,598.596,222.64,-149.048
79,229,28,545.708,127.776,-115.392
79,233,28,463.972,141.328,-96.16
83,233,28,498.83,224.576,-121.402
87,233,28,528.88,323.312,-150.25
91,233,28,545.708,437.536,-183.906
95,233,28,548.112,569.184,-221.168
99,233,28,527.678,716.32,-260.834
103,233,28,478.396,871.2,-304.106
107,233,28,390.65,1031.8879,-348.58
111,233,28,257.228,1184.832,-390.65
115,233,28,69.716,1308.736,-423.104
119,233,28,-171.886,1372.624,-439.932
123,233,28,-444.74,1343.584,-425.508
127,233,28,-704.372,1204.192,-372.62
131,233,28,-903.904,981.552,-286.076
135,233,28,-1030.114,716.32,-176.694
139,233,28,-1090.214,437.536,-52.888
143,233,28,-1090.214,158.752,74.524
147,233,28,-1032.5181,-110.352,201.936
151,233,28,-924.338,-352.352,312.52
155,233,28,-768.078,-559.504,405.074
159,233,28,-575.758,-716.32,472.386
163,233,28,-364.206,-807.312,512.052
167,233,28,-157.462,-838.288,522.87
171,233,28,25.242,-813.12,510.85
175,233,28,176.694,-749.232,479.598
179,233,28,292.086,-662.112,438.73
183,233,28,372.62,-561.44,390.65
187,233,28,423.104,-458.832,341.368
191,233,28,447.144,-360.096,293.288
195,233,28,453.154,-267.168,248.814
199,233,28,443.538,-185.856,209.148
203,233,28,424.306,-114.224,173.088
203,237,28,361.802,-121.968,150.25
199,237,28,372.62,-181.984,177.896
195,237,28,373.822,-251.68,209.148
191,237,28,361.802,-325.248,242.804
187,237,28,332.954,-404.624,277.662
183,237,28,283.672,-482.064,313.722
179,237,28,212.754,-555.632,344.974
175,237,28,115.392,-615.648,373.822
171,237,28,-7.212,-654.368,393.054
167,237,28,-149.048,-664.048,401.468
163,237,28,-304.106,-633.072,391.852
159,237,28,-460.366,-555.632,365.408
155,237,28,-603.404,-435.6,319.732
151,237,28,-721.2,-276.848,259.632
147,237,28,-802.936,-90.992,185.108
143,237,28,-846.208,116.16,102.17
139,237,28,-843.804,329.12,15.626
135,237,28,-793.32,538.208,-67.312
131,237,28,-693.554,731.808,-141.836
127,237,28,-549.314,886.688,-203.138
123,237,28,-370.216,989.296,-245.208
119,237,28,-181.502,1024.144,-265.642
115,237,28,-4.808,1000.912,-269.248
111,237,28,143.038,931.216,-258.43
107,237,28,257.228,834.416,-239.198
103,237,28,340.166,724.064,-215.158
99,237,28,393.054,609.84,-189.916
95,237,28,423.104,499.488,-163.472
91,237,28,433.922,394.944,-138.23
87,237,28,429.114,300.08,-115.392
83,237,28,413.488,216.832,-93.756
79,237,28,391.852,143.264,-75.726
79,241,28,329.348,141.328,-61.302
83,241,28,342.57,201.344,-75.726
87,241,28,349.782,271.04,-91.352
91,241,28,344.974,346.544,-106.978
95,241,28,326.944,427.856,-123.806
99,241,28,295.692,513.04,-140.634
103,241,28,242.804,594.352,-156.26
107,241,28,171.886,669.856,-168.28
111,241,28,76.928,731.808,-175.492
115,241,28,-38.464,770.528,-176.694
119,241,28,-168.28,774.4,-168.28
123,241,28,-302.904,739.552,-149.048
127,241,28,-430.316,662.112,-116.594
131,241,28,-537.294,547.888,-74.524
135,241,28,-613.02,406.56,-21.636
139,241,28,-653.888,247.808,36.06
143,241,28,-657.494,85.184,96.16
147,241,28,-627.444,-73.568,153.856
151,241,28,-566.142,-216.832,205.542
155,241,28,-478.396,-338.8,248.814
159,241,28,-372.62,-433.664,281.268
163,241,28,-256.026,-497.552,301.702
167,241,28,-137.028,-528.528,308.914
171,241,28,-25.242,-530.464,306.51
175,241,28,73.322,-507.232,294.49
179,241,28,153.856,-464.64,275.258
183,241,28,216.36,-412.368,252.42
187,241,28,262.036,-352.352,225.976
191,241,28,290.884,-292.336,200.734
195,241,28,306.51,-230.384,174.29
199,241,28,311.318,-174.24,150.25
203,241,28,306.51,-121.968,127.412
203,245,28,260.834,-118.096,108.18
199,245,28,260.834,-160.688,126.21
195,245,28,253.622,-207.152,145.442
191,245,28,235.592,-257.488,164.674
187,245,28,207.946,-303.952,183.906
183,245,28,168.28,-350.416,201.936
179,245,28,114.19,-389.136,218.764
175,245,28,46.878,-416.24,233.188
171,245,28,-31.252,-429.792,240.4
167,245,28,-118.998,-425.92,241.602
163,245,28,-210.35,-396.88,236.794
159,245,28,-299.298,-344.608,222.37
155,245,28,-379.832,-269.104,199.532
151,245,28,-444.74,-174.24,169.482
147,245,28,-491.618,-63.888,133.422
143,245,28,-514.456,58.08,92.554
139,245,28,-510.85,181.984,51.686
135,245,28,-479.598,303.952,9.616
131,245,28,-423.104,412.368,-27.646
127,245,28,-346.176,499.488,-60.1
123,245,28,-252.42,561.44,-85.342
119,245,28,-153.856,594.352,-103.372
115,245,28,-55.292,600.16,-114.19
111,245,28,34.858,578.864,-117.796
107,245,28,111.786,540.144,-115.392
103,245,28,174.29,487.872,-109.382
99,245,28,221.168,427.856,-100.968
95,245,28,253.622,365.904,-90.15
91,245,28,272.854,302.016,-79.332
87,245,28,282.47,242.0,-68.514
83,245,28,283.672,183.92,-57.696
79,245,28,276.46,133.584,-46.878
79,249,28,231.986,121.968,-37.262
83,249,28,233.188,164.56,-44.474
87,249,28,229.582,211.024,-51.686
91,249,28,217.562,259.424,-60.1
95,249,28,197.128,307.824,-67.312
99,249,28,167.078,356.224,-74.524
103,249,28,126.21,398.816,-78.13
107,249,28,74.524,433.664,-80.534
111,249,28,12.02,458.832,-79.332
115,249,28,-57.696,468.512,-74.524
119,249,28,-132.22,458.832,-66.11
123,249,28,-206.744,429.792,-50.484
127,249,28,-276.46,379.456,-31.252
131,249,28,-334.156,311.696,-7.212
135,249,28,-376.226,228.448,20.434
139,249,28,-399.064,137.456,50.484
143,249,28,-402.67,40.656,80.534
147,249,28,-385.842,-54.208,109.382
151,249,28,-352.186,-139.392,135.826
155,249,28,-301.702,-214.896,157.462
159,249,28,-241.602,-274.912,174.29
163,249,28,-173.088,-317.504,185.108
167,249,28,-102.17,-342.672,189.916
171,249,28,-33.656,-350.416,189.916
175,249,28,28.848,-344.608,185.108
179,249,28,84.14,-323.312,175.492
183,249,28,129.816,-296.208,163.472
187,249,28,165.876,-263.296,150.25
191,249,28,192.32,-224.576,134.624
195,249,28,209.148,-185.856,120.2
199,249,28,218.764,-147.136,104.574
203,249,28,221.168,-110.352,91.352
203,249,32,206.744,-94.864,97.362
199,249,32,203.138,-127.776,111.786
195,249,32,193.522,-162.624,127.412
191,249,32,176.694,-197.472,143.038
187,249,32,151.452,-232.32,157.462
183,249,32,117.796,-261.36,170.684
179,249,32,75.726,-284.592,181.502
175,249,32,22.838,-302.016,188.714
171,249,32,-34.858,-305.888,192.32
167,249,32,-97.362,-298.144,191.118
163,249,32,-162.27,-274.912,182.704
159,249,32,-224.774,-236.192,169.482
155,249,32,-280.066,-181.984,149.048
151,249,32,-324.54,-114.224,123.806
147,249,32,-355.792,-36.784,93.756
143,249,32,-370.216,46.464,60.1
139,249,32,-366.61,131.648,26.444
135,249,32,-344.974,214.896,-7.212
131,249,32,-306.51,288.464,-38.464
127,249,32,-253.622,350.416,-64.908
123,249,32,-189.916,394.944,-85.342
119,249,32,-121.402,422.048,-100.968
115,249,32,-51.686,431.728,-110.584
111,249,32,14.424,423.984,-114.19
107,249,32,72.12,400.752,-112.988
103,249,32,121.402,367.84,-109.382
99,249,32,159.866,329.12,-100.968
95,249,32,188.714,284.592,-91.352
91,249,32,209.148,240.064,-81.736
87,249,32,219.966,195.536,-70.918
83,249,32,224.774,151.008,-61.302
79,249,32,223.572,112.288,-50.484
79,245,32,265.642,121.968,-62.504
83,245,32,270.45,168.432,-75.726
87,245,32,269.248,220.704,-90.15
91,245,32,260.834,276.848,-105.776
95,245,32,240.4,334.928,-120.2
99,245,32,209.148,391.072,-134.624
103,245,32,164.674,443.344,-147.846
107,245,32,106.978,491.744,-157.462
111,245,32,36.06,526.592,-163.472
115,245,32,-46.878,542.08,-162.27
119,245,32,-137.028,536.272,-153.856
123,245,32,-228.38,507.232,-135.826
127,245,32,-312.52,453.024,-109.382
131,245,32,-382.236,373.648,-74.524
135,245,32,-433.922,280.72,-32.454
139,245,32,-462.77,174.24,13.222
143,245,32,-467.578,63.888,61.302
147,245,32,-448.346,-42.592,106.978
151,245,32,-407.478,-139.392,149.048
155,245,32,-349.782,-224.576,183.906
159,245,32,-277.662,-292.336,211.552
163,245,32,-198.33,-338.8,230.784
167,245,32,-115.392,-365.904,241.602
171,245,32,-36.06,-373.648,242.804
175,245,32,36.06,-363.968,237.996
179,245,32,98.564,-338.8,225.976
183,245,32,149.048,-305.888,211.552
187,245,32,187.512,-269.104,192.32
191,245,32,215.158,-226.512,173.088
195,245,32,233.188,-181.984,152.654
199,245,32,241.602,-139.392,133.422
203,245,32,242.804,-100.672,115.392
203,241,32,283.672,-102.608,134.624
199,241,32,286.076,-149.072,157.462
195,241,32,281.268,-199.408,181.502
191,241,32,264.44,-253.616,207.946
187,241,32,235.592,-305.888,234.39
183,241,32,192.32,-358.16,259.632
179,241,32,133.422,-402.688,281.268
175,241,32,58.898,-437.536,299.298
171,241,32,-31.252,-454.96,307.712
167,241,32,-131.018,-453.024,308.914
163,241,32,-236.794,-423.984,295.692
159,241,32,-341.368,-367.84,271.652
155,241,32,-435.124,-284.592,233.188
151,241,32,-513.254,-178.112,183.906
147,241,32,-566.142,-54.208,126.21
143,241,32,-593.788,83.248,62.504
139,241,32,-588.98,224.576,-3.606
135,241,32,-554.122,360.096,-67.312
131,241,32,-485.608,484.0,-126.21
127,241,32,-391.852,584.672,-174.29
123,241,32,-277.662,654.368,-209.148
119,241,32,-155.058,687.28,-230.784
115,241,32,-37.262,687.28,-237.996
111,241,32,69.716,656.304,-233.188
107,241,32,156.26,604.032,-221.168
103,241,32,225.976,538.208,-203.138
99,241,32,275.258,464.64,-181.502
95,241,32,307.712,389.136,-159.866
91,241,32,324.54,315.568,-138.23
87,241,32,330.55,245.872,-117.796
83,241,32,325.742,181.984,-97.362
79,241,32,314.924,127.776,-79.332
79,237,32,371.418,127.776,-96.16
83,237,32,391.852,193.6,-118.998
87,237,32,402.67,271.04,-145.442
91,237,32,405.074,354.288,-175.492
95,237,32,393.054,447.216,-206.744
99,237,32,363.004,544.016,-241.602
