x,y,z,Bx,By,Bz
80,89,0,-2478.5239,3353.1521,-784.906
82,89,0,-2501.3621,3684.208,-854.622
84,89,0,-2497.7561,4044.304,-930.348
86,89,0,-2459.292,4429.5679,-1010.882
88,89,0,-2383.5662,4834.1919,-1095.022
90,89,0,-2257.356,5254.3042,-1181.566
92,89,0,-2077.0562,5678.2881,-1269.312
94,89,0,-1836.656,6098.3999,-1352.25
96,89,0,-1533.7521,6497.2158,-1433.9861
98,89,0,-1162.334,6872.7998,-1508.51
100,89,0,-732.018,7198.0479,-1569.812
102,89,0,-239.198,7459.4082,-1620.296
104,89,0,300.5,7651.0718,-1655.1541
106,89,0,875.056,7751.7441,-1673.1841
108,89,0,1474.854,7759.4878,-1674.386
110,89,0,2080.6621,7664.624,-1656.3561
112,89,0,2672.0461,7476.832,-1619.094
114,89,0,3246.6021,7190.3042,-1560.196
116,89,0,3771.876,6826.3359,-1486.874
118,89,0,4253.8779,6386.8638,-1402.734
120,89,0,4673.376,5891.248,-1304.17
122,89,0,5031.5723,5349.168,-1193.5861
124,89,0,5328.4663,4779.9839,-1075.79
126,89,0,5564.0581,4199.1841,-951.984
128,89,0,5749.166,3616.448,-826.976
130,89,0,5887.396,3035.6479,-698.362
132,89,0,5987.1621,2464.5281,-569.748
134,89,0,6056.8779,1903.088,-443.538
136,89,0,6107.3623,1359.072,-317.328
138,89,0,6138.6143,824.736,-194.724
140,89,0,6189.0981,296.208,-57.696
142,89,0,6201.1182,-234.256,67.312
144,89,0,6201.1182,-766.656,192.32
146,89,0,6187.896,-1302.928,316.126
148,89,0,6160.25,-1854.688,442.336
150,89,0,6108.564,-2416.1279,568.546
152,89,0,6026.8281,-2994.9919,697.16
154,89,0,5907.8301,-3587.408,825.774
156,89,0,5745.5601,-4187.5679,951.984
158,89,0,5526.7959,-4783.856,1074.588
160,89,0,5245.5283,-5380.144,1194.788
162,89,0,4899.3521,-5949.3281,1307.776
164,89,0,4481.0562,-6487.5361,1411.1481
166,89,0,4001.458,-6961.856,1501.298
168,89,0,3459.356,-7370.3521,1575.822
170,89,0,2873.9819,-7689.792,1632.316
172,89,0,2257.356,-7912.4321,1668.376
174,89,0,1620.296,-8034.3999,1685.204
176,89,0,992.852,-8046.0161,1685.204
178,89,0,385.842,-7953.0879,1664.77
180,89,0,-183.906,-7771.104,1625.104
182,89,0,-701.968,-7503.936,1569.812
184,89,0,-1162.334,-7169.0078,1502.5
186,89,0,-1548.176,-6787.6157,1425.572
188,89,0,-1871.514,-6371.376,1340.23
190,89,0,-2122.7319,-5931.9038,1250.0801
192,89,0,-2311.446,-5490.4961,1161.1321
194,89,0,-2443.666,-5049.0879,1069.78
196,89,0,-2526.604,-4628.9761,979.63
198,89,0,-2565.0681,-4224.3521,896.692
200,89,0,-2566.27,-3844.896,817.36
202,89,0,-2541.0281,-3492.5439,741.634
204,89,0,-2492.948,-3165.3599,671.918
206,89,0,-2426.8381,-2869.1521,608.212
206,91,0,-2721.3281,-2958.208,671.918
204,91,0,-2815.084,-3279.584,744.038
202,91,0,-2894.416,-3639.6799,828.178
200,91,0,-2954.5161,-4036.5601,917.126
198,91,0,-2982.1621,-4466.3521,1012.084
196,91,0,-2973.748,-4932.9277,1114.254
194,91,0,-2917.2542,-5422.7358,1220.03
192,91,0,-2801.8621,-5941.584,1330.614
190,91,0,-2619.158,-6475.9199,1443.6021
188,91,0,-2358.324,-7006.3838,1554.186
186,91,0,-2012.1481,-7523.2959,1664.77
184,91,0,-1580.63,-8001.4878,1764.536
182,91,0,-1061.366,-8425.4717,1855.8881
180,91,0,-461.568,-8768.1436,1931.614
178,91,0,200.734,-9014.0156,1986.906
176,91,0,915.924,-9145.6641,2020.562
174,91,0,1657.558,-9145.6641,2027.774
172,91,0,2407.606,-9014.0156,2008.542
170,91,0,3136.0181,-8750.7197,1964.068
168,91,0,3823.562,-8367.3916,1895.5541
166,91,0,4452.208,-7885.3281,1804.202
164,91,0,5001.522,-7316.144,1694.8201
162,91,0,5470.3022,-6681.1357,1568.61
160,91,0,5853.7402,-6005.4722,1429.178
158,91,0,6153.0381,-5310.4478,1281.332
156,91,0,6373.0039,-4611.5518,1132.2841
154,91,0,6530.4663,-3928.144,978.428
152,91,0,6635.04,-3262.1599,823.37
