x,y,z,Bx,By,Bz
125,120,0,13921.5645,-15429.9199,-5447.4639
127,120,0,13907.1406,-11209.4395,-3946.166
129,120,0,13879.4941,-8396.4316,-2836.72
131,120,0,13812.1826,-6340.3999,-2024.1681
133,120,0,12928.7119,-4694.7998,-1399.1281
135,120,0,11683.4404,-3320.24,-913.52
137,120,0,10763.9102,-2116.0481,-519.264
139,120,0,10226.6162,-1012.528,-180.3
141,120,0,10029.4883,44.528,129.816
143,120,0,10142.4766,1111.264,443.538
145,120,0,10586.0146,2234.144,781.3
147,120,0,11385.3438,3451.8879,1164.738
149,120,0,12558.4961,4840.0,1627.5081
151,120,0,13621.0645,6473.9839,2205.6699
153,120,0,13866.2725,8562.9277,2961.728
155,120,0,13901.1299,11372.0635,3971.408
157,120,0,13916.7559,15445.4082,5320.0522
157,122,0,13896.3223,19057.9844,4119.2539
155,122,0,13868.6758,14065.04,3158.856
153,122,0,13583.8027,10539.584,2400.394
151,122,0,12333.7227,7924.0479,1817.4241
149,122,0,10976.6641,5875.7598,1364.27
147,122,0,9983.8125,4172.0801,998.862
145,122,0,9319.1064,2681.3601,692.352
143,122,0,8942.8799,1322.288,424.306
141,122,0,8841.9121,30.976,176.694
139,122,0,8996.9697,-1258.4,-68.514
137,122,0,9432.0938,-2621.344,-336.56
135,122,0,10173.7285,-4119.8081,-643.07
133,122,0,11292.79,-5869.9521,-1020.498
131,122,0,12768.8467,-7999.5518,-1498.894
129,122,0,13800.1621,-10740.9277,-2117.9241
127,122,0,13881.8984,-14570.3359,-2948.5061
125,122,0,13903.5342,-20337.6797,-4039.9221
125,124,0,13741.2646,-21646.416,-2390.7781
127,124,0,13052.5186,-16521.8242,-1783.7681
129,124,0,11648.582,-12330.3838,-1289.746
131,124,0,10311.958,-9228.9121,-907.51
133,124,0,9238.5723,-6777.936,-604.606
135,124,0,8445.252,-4778.0479,-360.6
137,124,0,7895.938,-3053.072,-157.462
139,124,0,7567.792,-1498.464,22.838
141,124,0,7446.3901,-30.976,192.32
143,124,0,7505.2881,1432.64,363.004
145,124,0,7773.334,2973.696,548.112
147,124,0,8234.9023,4652.208,758.462
149,124,0,8916.4365,6574.6558,1009.68
151,124,0,9814.3301,8855.2637,1312.584
153,124,0,10949.0186,11732.1602,1687.608
155,124,0,12283.2383,15468.6396,2157.5901
157,124,0,13334.9883,20459.6484,2724.9341
157,126,0,8138.7422,20436.416,1393.118
155,126,0,8106.2881,15933.2803,1176.7581
153,126,0,7710.8301,12324.5762,971.216
151,126,0,7228.8281,9418.6396,796.926
149,126,0,6758.8462,7035.4238,647.878
147,126,0,6365.792,5006.4961,524.072
145,126,0,6089.332,3204.0801,415.892
143,126,0,5919.8501,1554.608,320.934
141,126,0,5871.77,-32.912,233.188
139,126,0,5945.0923,-1622.368,149.048
137,126,0,6136.21,-3302.8159,64.908
135,126,0,6449.9321,-5153.6318,-25.242
133,126,0,6876.6421,-7290.9761,-129.816
131,126,0,7394.7041,-9852.3037,-250.016
129,126,0,7928.3921,-13015.7275,-388.246
