x,y,z,Bx,By,Bz
79,123,28,-5171.0039,-545.952,4208.2021
81,123,28,-5570.0679,-650.496,4818.8179
83,123,28,-6001.5859,-795.696,5561.6543
85,123,28,-6452.3359,-993.168,6452.3359
87,123,28,-6907.894,-1268.08,7517.3081
89,123,28,-7338.21,-1653.344,8796.2363
91,123,28,-7697.6079,-2189.616,10321.5742
93,123,28,-7917.5742,-2944.656,11988.748
95,123,28,-7853.8682,-3992.032,13300.1299
97,123,28,-7248.0601,-5413.0562,13861.4639
99,123,28,-5835.71,-7217.4082,13896.3223
101,123,28,-3563.9302,-9302.4795,13909.5439
103,123,28,-806.542,-11453.376,13907.1406
105,123,28,2016.9561,-13410.6719,13910.7461
107,123,28,4769.5361,-15015.6162,13908.3418
109,123,28,7380.2803,-16202.3838,13902.332
111,123,28,9748.2197,-16940.0,13898.7266
113,123,28,11782.0039,-17182.0,13885.5039
115,123,28,13070.5479,-16881.9199,13777.3242
117,123,28,13491.248,-16006.8477,12551.2842
119,123,28,13343.4023,-14572.2715,9988.6201
121,123,28,12589.748,-12738.8799,7559.3779
123,123,28,11390.1523,-10771.9043,5727.5303
125,123,28,10209.7881,-8928.832,4368.0679
127,123,28,9180.876,-7312.272,3337.9541
129,123,28,8314.2344,-5908.6719,2531.4121
131,123,28,7613.4683,-4698.6719,1895.5541
133,123,28,7056.9419,-3618.384,1371.4821
135,123,28,6639.8481,-2646.512,937.56
137,123,28,6350.166,-1754.016,557.728
139,123,28,6179.4819,-909.92,212.754
141,123,28,6120.584,-94.864,-115.392
143,123,28,6169.8662,720.192,-444.74
145,123,28,6329.7319,1558.48,-796.926
147,123,28,6601.3843,2435.488,-1191.182
149,123,28,6989.6304,3374.448,-1640.73
151,123,28,7494.4702,4392.7842,-2175.6201
153,123,28,8131.5303,5558.2559,-2837.9221
155,123,28,8903.2139,6880.5439,-3668.5042
157,123,28,9804.7139,8390.624,-4732.2739
159,123,28,10793.96,10096.2402,-6104.958
161,123,28,11755.5605,11921.8877,-7882.7163
163,123,28,12438.2959,13699.1357,-10172.5264
165,123,28,12477.9619,15162.752,-12480.3662
167,123,28,11699.0664,16124.9443,-13649.9121
169,123,28,10208.5859,16579.9043,-13875.8887
171,123,28,8274.5684,16543.1191,-13891.5146
173,123,28,6078.5142,16053.3115,-13902.332
175,123,28,3733.4121,15091.1201,-13899.9287
177,123,28,1308.978,13677.8398,-13905.9385
179,123,28,-1153.92,11852.1924,-13902.332
181,123,28,-3556.718,9767.1201,-13892.7158
183,123,28,-5678.248,7664.624,-13883.1006
185,123,28,-7125.4561,5802.1919,-13814.5859
187,123,28,-7816.606,4317.2798,-13036.8926
189,123,28,-7970.4619,3206.0159,-11729.1162
191,123,28,-7803.3843,2402.5759,-10082.376
193,123,28,-7466.8242,1817.9039,-8617.1377
195,123,28,-7043.7202,1391.984,-7373.0684
197,123,28,-6591.7681,1084.16,-6340.5503
199,123,28,-6133.8062,857.648,-5467.8979
201,123,28,-5690.2681,693.088,-4739.4863
203,123,28,-5263.5581,567.248,-4115.6479
205,123,28,-4865.6963,474.32,-3589.1721
205,125,28,-4765.9302,760.848,-3557.9202
203,125,28,-5122.9243,884.752,-4059.1541
201,125,28,-5506.3623,1043.504,-4654.144
199,125,28,-5895.8101,1246.7839,-5353.708
197,125,28,-6278.0459,1517.824,-6177.0781
195,125,28,-6633.8379,1866.304,-7144.688
193,125,28,-6924.7222,2323.2,-8280.5781
191,125,28,-7085.79,2931.104,-9606.3838
189,125,28,-7022.084,3719.0559,-11106.4805
187,125,28,-6579.748,4754.8159,-12456.3262
185,125,28,-5570.0679,6069.3599,-13368.6445
183,125,28,-3853.6121,7672.3682,-13796.5566
181,125,28,-1621.498,9480.5918,-13863.8682
179,125,28,687.544,11344.96,-13860.2627
177,125,28,2860.76,13081.5518,-13855.4541
175,125,28,4888.5342,14518.0635,-13760.4961
173,125,28,6785.29,15588.6719,-13516.4902
171,125,28,8547.4219,16244.9756,-12944.3379
169,125,28,10033.0938,16475.3594,-11909.416
167,125,28,11046.3799,16254.6563,-10071.5586
165,125,28,11332.4561,15520.9121,-7906.7563
163,125,28,10848.0498,14272.1924,-5947.4961
161,125,28,9930.9238,12628.5283,-4532.7422
159,125,28,8976.5361,10843.5361,-3581.96
157,125,28,8144.752,9103.0723,-2889.6082
155,125,28,7435.5723,7517.4878,-2331.8801
153,125,28,6835.7739,6100.3359,-1867.9081
151,125,28,6338.146,4845.8081,-1477.2581
149,125,28,5939.082,3722.928,-1149.1121
147,125,28,5628.9663,2691.04,-857.026
145,125,28,5409.0,1724.976,-605.808
143,125,28,5271.9722,801.504,-375.024
141,125,28,5225.0942,-102.608,-158.664
139,125,28,5263.5581,-1006.72,51.686
137,125,28,5392.1719,-1943.744,270.45
135,125,28,5609.7339,-2931.104,501.234
133,125,28,5925.8604,-4003.6479,758.462
131,125,28,6341.752,-5188.48,1048.144
129,125,28,6871.834,-6514.6401,1382.3
127,125,28,7529.3281,-8026.6558,1771.748
125,125,28,8339.4766,-9726.4639,2227.3062
123,125,28,9345.5498,-11600.5117,2792.2461
121,125,28,10589.6201,-13521.0244,3637.252
119,125,28,11904.6084,-15211.1523,5074.8442
117,125,28,12696.7266,-16461.8086,7288.9282
115,125,28,12657.0605,-17149.0879,9864.8145
113,125,28,11822.8721,-17311.7109,12111.3525
111,125,28,10317.9678,-16984.5273,13334.9883
109,125,28,8414.0,-16212.0635,13830.2119
107,125,28,6240.7842,-15038.8477,13873.4844
105,125,28,3882.46,-13501.6641,13880.6963
103,125,28,1340.23,-11660.5283,13887.9082
101,125,28,-1329.412,-9668.3838,13883.1006
99,125,28,-3770.6741,-7740.1279,13865.0703
97,125,28,-5559.25,-6032.5762,13665.5381
95,125,28,-6561.7183,-4658.0161,12866.208
93,125,28,-6982.418,-3600.96,11608.916
91,125,28,-7035.3062,-2805.2639,10028.2861
