x,y,z,Bx,By,Bz
90,110,0,-7041.3159,-6457.144,8572.6084
100,110,0,-1745.3041,-4858.4839,2780.0959
110,110,0,-60.1,-6297.2783,3556.4319
120,110,0,2572.28,-6244.3901,3577.728
130,110,0,4645.73,-4434.1782,2667.8081
140,110,0,5428.2319,-2059.0261,1345.52
150,110,0,5500.3521,151.452,15.488
160,110,0,5225.0942,2366.738,-1324.224
170,110,0,4192.5762,4640.9219,-2584.5601
180,110,0,2028.9761,6127.7959,-3376.384
190,110,0,-402.67,5899.416,-3295.072
200,110,0,-1818.626,4457.0161,-2590.3679
210,110,0,-2131.146,2958.1221,-1812.0959
210,120,0,-3693.7461,3161.26,-2814.9441
200,120,0,-4160.1221,5732.3379,-4774.1758
190,120,0,-2288.6082,9314.2979,-7254.1919
180,120,0,2904.032,10465.8145,-8016.9761
170,120,0,7225.2222,7114.6382,-5740.2397
160,120,0,7910.3623,2990.5762,-2607.792
150,120,0,7636.3062,411.084,-147.136
140,120,0,8069.0264,-2049.4102,2340.624
130,120,0,8011.3301,-6237.1782,5718.9438
120,120,0,4143.2939,-10500.6719,8572.6084
110,120,0,-1718.86,-10168.9199,8129.2642
100,120,0,-4257.4839,-6377.812,5331.7441
90,120,0,-3843.9961,-3488.2041,3041.4561
90,130,0,-5796.0439,-2444.8682,4373.4238
100,130,0,-8926.0518,-5396.98,9670.3203
110,130,0,-7055.7402,-13695.5879,22275.6152
120,130,0,7879.1104,-14085.0361,22856.416
130,130,0,14188.4082,-4806.7979,12769.8555
140,130,0,10630.4883,-158.664,3568.0481
150,130,0,8963.3145,323.338,-178.112
160,130,0,10951.4219,1235.656,-4146.9121
170,130,0,13958.8262,7524.52,-13797.8721
180,130,0,4934.21,14212.4482,-22668.623
190,130,0,-7784.1523,12699.1299,-18504.2871
200,130,0,-8243.3164,5171.0039,-8336.416
210,130,0,-5541.2202,2390.7781,-3990.0959
210,140,0,-6369.3979,323.338,-4663.8242
200,140,0,-9991.0244,-79.332,-10373.0879
190,140,0,-9602.7783,-6036.4443,-22881.584
180,140,0,8460.8779,-14177.5898,-22931.9199
170,140,0,14246.1045,-12444.3066,-13848.208
160,140,0,9531.8604,-4041.124,-3246.6719
150,140,0,7049.73,114.19,-313.632
140,140,0,8465.6865,4321.1899,2181.8721
130,140,0,14080.2285,12874.6221,8893.9844
120,140,0,12509.2139,14255.7207,22887.3926
110,140,0,-4987.0981,9753.0283,22887.3926
100,140,0,-9933.3281,965.206,11741.8398
90,140,0,-6507.6279,-104.574,5157.5039
90,150,0,-5627.7642,1809.01,5014.2397
100,150,0,-6919.9141,3437.72,10797.0723
110,150,0,6358.5801,7381.4819,18064.8164
120,150,0,14206.4385,13023.6699,4836.1279
130,150,0,4435.3799,12889.0459,-7502.0
140,150,0,2031.38,5453.4741,-1283.568
150,150,0,2251.3459,-256.026,-137.456
160,150,0,2859.5581,-5979.9502,900.24
170,150,0,8386.3545,-13143.8701,5653.1201
180,150,0,12923.9043,-12767.6445,-9544.4795
190,150,0,-149.048,-6118.1802,-19524.5605
200,150,0,-7647.124,-3096.3521,-9465.1035
210,150,0,-5717.9141,-1602.266,-4541.856
210,160,0,-4459.4199,-2767.0042,-3914.592
200,160,0,-5609.7339,-4479.854,-8092.48
190,160,0,2307.8401,-6272.0361,-18244.8633
180,160,0,14213.6504,-6876.6421,-5405.312
170,160,0,5471.5039,-8369.5264,14810.4004
160,160,0,-2578.29,-4594.0439,4115.936
150,160,0,-2565.0681,-389.448,-44.528
140,160,0,-3404.064,3791.1082,-4046.24
130,160,0,-698.362,7887.5239,-15447.3438
120,160,0,14265.3359,8689.2578,-913.792
110,160,0,9040.2422,6725.1899,17061.9687
100,160,0,-4749.1021,4866.8979,9558.0322
90,160,0,-4211.8081,2971.344,4340.5122
90,170,0,-2569.876,3525.4661,3360.896
100,170,0,-2334.2839,5592.9062,7201.9199
110,170,0,9596.7686,7609.8623,12601.4238
120,170,0,14264.1338,6804.522,-4619.2959
130,170,0,-3579.5562,4273.1099,-17809.2637
140,170,0,-6522.0522,1919.594,-5087.8081
150,170,0,-5722.7222,-485.608,189.728
160,170,0,-5722.7222,-2972.5461,5742.1758
170,170,0,3160.0581,-5433.04,18331.9844
180,170,0,14229.2764,-7037.71,-2323.2
190,170,0,3167.27,-7397.1079,-13927.584
200,170,0,-3360.792,-5271.9722,-6077.104
210,170,0,-2941.2939,-3377.6201,-3002.7361
210,180,0,-1411.1481,-3408.8721,-2007.632
200,180,0,-1107.042,-5185.4282,-3798.4319
190,180,0,4185.3643,-7335.8062,-8475.8076
180,180,0,13851.8486,-6451.1343,1703.6799
170,180,0,788.512,-3240.592,19493.584
160,180,0,-7407.9263,-1545.772,6168.0962
150,180,0,-7303.3521,-503.638,282.656
140,180,0,-7986.0884,417.094,-5211.7119
130,180,0,-5916.2441,1462.834,-17592.4316
120,180,0,14214.8525,5070.0361,-8748.7842
110,180,0,9668.8877,7180.748,6532.064
100,180,0,48.08,5365.728,4468.2881
90,180,0,-943.57,3477.386,2207.04
90,190,0,358.196,2855.9521,1165.472
100,190,0,1821.03,4103.6279,2011.504
110,190,0,8819.0742,4774.3442,1165.472
120,190,0,11456.2627,1664.77,-10833.8555
130,190,0,-6649.4644,-1244.0701,-15259.5518
140,190,0,-7982.4819,-712.786,-4632.8481
150,190,0,-7500.48,-389.448,336.864
160,190,0,-7724.0522,-197.128,5761.5361
170,190,0,-1736.89,-492.82,18353.2793
180,190,0,10987.4824,-4237.0503,5755.728
190,190,0,5180.6201,-5952.3042,-3252.48
200,190,0,849.814,-4382.4922,-1711.424
210,190,0,-73.322,-2982.1621,-1058.9919
210,200,0,842.602,-2200.8621,-336.864
200,200,0,2175.6201,-2974.95,-114.224
190,200,0,5482.3223,-4055.5481,1533.312
180,200,0,6516.042,-1347.442,7136.0962
170,200,0,-2113.116,2126.3381,13972.1123
160,200,0,-6784.0879,730.816,4772.2397
150,200,0,-6716.7759,-306.51,414.304
140,200,0,-6888.6621,-1278.928,-3608.7041
130,200,0,-5515.978,-2828.3062,-11319.792
120,200,0,6830.9663,-1762.1321,-9486.4004
110,200,0,6672.3022,1938.826,-2054.0959
