x,y,z,Bx,By,Bz
90,110,0,-2860.76,-4240.6562,2927.2319
100,110,0,-2012.1481,-6555.708,4386.9761
110,110,0,894.288,-8117.106,5376.272
120,110,0,4477.4502,-6947.5601,4762.5601
130,110,0,6281.6523,-3954.5801,2927.2319
140,110,0,6499.2144,-1179.162,1002.848
150,110,0,6407.8623,1224.838,-780.208
160,110,0,6007.5962,3941.3582,-2640.7041
170,110,0,4163.728,6714.3721,-4340.5122
180,110,0,808.946,7746.8901,-4965.8398
190,110,0,-1947.24,6315.3081,-4175.9521
200,110,0,-2817.488,4118.0522,-2880.7681
200,120,0,-5304.4263,4283.9282,-4816.7681
190,120,0,-5440.252,8567.8564,-8748.7842
180,120,0,-104.574,12824.1387,-12371.04
170,120,0,7659.144,10522.3086,-10589.9199
160,120,0,9772.2598,4576.0142,-5349.168
150,120,0,8713.2979,1240.464,-1467.488
140,120,0,8815.4678,-622.636,1500.4
130,120,0,10269.8887,-4019.488,5728.624
120,120,0,8436.8379,-10531.9238,11712.7998
110,120,0,109.382,-13240.0303,13753.3438
100,120,0,-5721.52,-8746.9541,9405.0879
90,120,0,-5393.374,-4279.1201,4923.248
90,130,0,-7713.2344,-1772.9501,6909.584
100,130,0,-12462.3359,-3906.5,18442.3359
110,130,0,-1496.49,-7760.1123,22959.0234
120,130,0,14241.2959,-3625.2322,22931.9199
130,130,0,13954.0186,2010.946,8588.0957
140,130,0,9370.792,1025.306,1773.376
150,130,0,9391.2266,-312.52,-1754.016
160,130,0,13881.8984,-387.044,-8487.4238
170,130,0,14212.4482,6790.0981,-22906.752
180,130,0,-1861.8981,11934.6582,-22951.2793
190,130,0,-12475.5586,5455.8779,-17605.9844
200,130,0,-7905.5542,2057.824,-6861.1841
200,140,0,-7364.6543,-1507.308,-6983.1519
190,140,0,-8315.4365,-5925.8604,-15354.416
180,140,0,3922.126,-14238.8926,-19197.375
170,140,0,13482.834,-14264.1338,-11122.3203
160,140,0,8690.46,-9647.252,-3107.28
150,140,0,5708.2983,-2359.5261,-853.776
140,140,0,5352.5059,2819.8921,418.176
130,140,0,7204.7881,10436.9658,1734.656
120,140,0,13776.1221,14265.3359,5931.9038
110,140,0,6751.6343,14231.6807,16881.9199
100,140,0,-6492.002,5644.5923,15294.4004
90,140,0,-6889.8643,1522.9341,7118.6719
90,150,0,-5251.5381,2842.73,6599.8237
100,150,0,-2508.574,4245.4639,15069.8242
110,150,0,13575.3887,7802.1821,7116.7358
120,150,0,13833.8184,11623.3398,-10467.9521
130,150,0,-1156.324,8278.1738,-5924.1602
140,150,0,-387.044,2507.3721,-1103.52
150,150,0,10.818,-2773.0142,886.688
160,150,0,399.064,-8627.9561,5132.3359
170,150,0,13522.5,-11419.0,5221.3921
180,150,0,10393.6943,-7423.5522,-9259.8877
190,150,0,-4019.488,-4482.2583,-12913.1201
200,150,0,-5466.6963,-2918.4561,-6082.9121
200,160,0,-3947.3682,-3613.2122,-5111.04
190,160,0,-2711.7122,-5208.2661,-11530.8164
180,160,0,12801.2998,-5126.5303,-9060.4795
170,160,0,14192.0146,-6689.1299,9286.9922
160,160,0,-3788.7041,-5554.4419,9517.376
150,160,0,-4443.7939,-2127.54,2104.4319
140,160,0,-4785.1621,1378.694,-2121.856
130,160,0,-5487.1299,4722.6582,-9468.9756
120,160,0,14048.9766,7249.2622,-16012.6563
110,160,0,14206.4385,6445.124,8216.3838
100,160,0,-897.894,5798.4482,13573.2959
90,160,0,-3675.7161,3859.6221,5639.5679
90,170,0,-1774.152,4306.7661,4146.9121
100,170,0,1108.244,6556.9102,9680.0
110,170,0,14167.9746,7138.6782,3773.2639
120,170,0,12106.5439,5048.3999,-19350.3203
