x,y,z,Bx,By,Bz
100,110,0,-2024.1681,-6606.1919,4417.9521
102,110,0,-1609.478,-7052.1343,4692.8638
104,110,0,-1097.426,-7460.814,4948.416
106,110,0,-503.638,-7791.3643,5155.5679
108,110,0,170.684,-8035.3701,5310.4478
110,110,0,899.096,-8166.3882,5403.376
112,110,0,1662.3661,-8174.8022,5424.6719
114,110,0,2430.4441,-8054.6021,5372.3999
116,110,0,3172.0781,-7808.1924,5244.624
118,110,0,3870.4402,-7446.3901,5045.2158
120,110,0,4500.2881,-6983.6201,4785.792
122,110,0,5044.7939,-6446.3262,4474.0962
124,110,0,5499.1499,-5851.3359,4117.8721
126,110,0,5857.3462,-5229.9019,3740.3521
128,110,0,6124.1899,-4598.8521,3347.344
130,110,0,6314.106,-3969.0042,2946.592
130,112,0,6945.1562,-4158.9199,3382.1919
128,112,0,6778.0781,-4850.0703,3860.384
126,112,0,6512.436,-5573.6743,4344.3838
124,112,0,6145.8262,-6291.2681,4812.896
122,112,0,5654.208,-6988.4282,5252.3682
120,112,0,5044.7939,-7623.084,5643.4399
118,112,0,4323.5942,-8177.2061,5976.4321
116,112,0,3513.446,-8618.3398,6230.0479
114,112,0,2644.4001,-8910.4258,6394.6079
112,112,0,1739.2941,-9052.2617,6460.4321
110,112,0,842.602,-9030.626,6427.52
108,112,0,-15.626,-8863.5479,6297.8081
106,112,0,-799.33,-8559.4424,6088.7197
104,112,0,-1486.874,-8144.752,5811.8721
102,112,0,-2061.4299,-7647.124,5480.8159
100,112,0,-2518.1899,-7097.8101,5118.7842
100,114,0,-3111.978,-7578.6104,5933.8398
102,114,0,-2632.3801,-8243.3164,6410.0962
104,114,0,-1995.3201,-8862.3457,6853.4399
106,114,0,-1220.03,-9380.4082,7227.0879
108,114,0,-304.106,-9778.2705,7515.5518
110,114,0,704.372,-10007.8525,7697.5361
112,114,0,1766.9401,-10057.1338,7757.5518
114,114,0,2842.73,-9905.6826,7687.856
116,114,0,3872.844,-9569.1221,7492.3198
118,114,0,4828.4341,-9053.4639,7174.8159
120,114,0,5667.4302,-8394.7686,6748.896
122,114,0,6364.5903,-7633.9023,6247.4722
124,114,0,6906.6919,-6803.3203,5687.9678
126,114,0,7288.9282,-5957.1123,5099.4238
128,114,0,7536.54,-5119.3179,4495.3921
130,114,0,7672.3662,-4311.5742,3895.2319
130,116,0,8462.0801,-4372.876,4458.6079
128,116,0,8387.5566,-5255.144,5182.6719
126,116,0,8174.8022,-6220.3501,5935.7759
124,116,0,7793.7681,-7209.5962,6681.1357
122,116,0,7219.2119,-8194.0342,7397.4561
120,116,0,6440.3159,-9115.9678,8051.8237
118,116,0,5473.9082,-9915.2979,8599.7119
116,116,0,4352.4419,-10540.3379,9017.8877
114,116,0,3133.614,-10951.4219,9277.3115
112,116,0,1852.282,-11134.126,9368.3037
110,116,0,580.566,-11072.8242,9283.1201
108,116,0,-621.434,-10780.7383,9033.376
106,116,0,-1700.8301,-10289.1201,8642.3037
104,116,0,-2605.936,-9637.6357,8138.9438
102,116,0,-3319.9241,-8882.7803,7560.0801
100,116,0,-3841.592,-8069.0264,6930.8799
100,118,0,-4696.2139,-8470.4941,8067.312
102,118,0,-4168.5361,-9439.3066,8890.1123
104,118,0,-3382.428,-10375.6641,9681.9355
106,118,0,-2352.314,-11190.6201,10373.0879
108,118,0,-1089.012,-11820.4678,10920.9756
110,118,0,341.368,-12203.9063,11279.1357
112,118,0,1869.11,-12303.6719,11414.6563
114,118,0,3410.074,-12106.5439,11319.792
116,118,0,4876.5142,-11628.1484,11000.3516
118,118,0,6215.542,-10878.1006,10458.2715
120,118,0,7350.23,-9921.3086,9740.0156
122,118,0,8240.9121,-8811.8623,8886.2402
124,118,0,8861.1445,-7636.3062,7949.2158
126,118,0,9225.3506,-6470.3662,6985.0879
128,118,0,9374.3984,-5353.708,6030.6401
130,118,0,9359.9746,-4328.4019,5111.04
130,120,0,10315.5645,-4107.2339,5806.064
128,120,0,10468.2178,-5196.2461,6925.0718
126,120,0,10424.9463,-6459.5483,8138.9438
124,120,0,10117.2344,-7831.0303,9387.6641
122,120,0,9476.5684,-9239.7744,10624.7676
120,120,0,8484.918,-10578.8018,11759.2637
118,120,0,7163.9199,-11744.7422,12717.584
116,120,0,5578.4819,-12657.0605,13441.6475
114,120,0,3818.7542,-13191.9502,13877.248
112,120,0,1959.26,-13378.2598,14005.0234
110,120,0,118.998,-13291.7158,13821.1035
