x,y,z,Bx,By,Bz
160,120,0,9826.3506,4518.3179,-5387.8882
162,120,0,9878.0361,5554.4419,-6398.48
164,120,0,9747.0186,6729.998,-7480.7041
166,120,0,9364.7822,7987.29,-8578.416
168,120,0,8697.6719,9257.8037,-9658.7041
170,120,0,7739.6782,10441.7744,-10646.0635
172,120,0,6487.1943,11479.1006,-11480.4795
174,120,0,5005.1279,12272.4199,-12109.6797
176,120,0,3381.2261,12772.4521,-12491.0723
178,120,0,1690.0121,12955.1563,-12607.2314
180,120,0,12.02,12824.1387,-12460.0957
182,120,0,-1548.176,12389.0146,-12063.2158
184,120,0,-2932.8801,11677.4307,-11455.3115
186,120,0,-4038.72,10772.3242,-10678.9756
188,120,0,-4870.5039,9739.8066,-9790.3516
190,120,0,-5415.0103,8674.834,-8868.8164
190,122,0,-6548.4961,8856.3359,-10320.8164
188,122,0,-6043.6562,10107.6182,-11561.792
186,122,0,-5156.5801,11368.5166,-12783.4082
184,122,0,-3888.47,12493.5879,-13873.376
182,122,0,-2265.77,13298.9287,-14742.6396
180,122,0,-387.044,13723.2344,-15323.4395
178,122,0,1635.922,13843.4346,-15557.6963
176,122,0,3702.1602,13699.1943,-15426.0479
174,122,0,5651.8042,13247.2422,-14936.2402
172,122,0,7427.1582,12361.3682,-14088.2715
170,122,0,8897.2041,11125.7119,-12969.2637
168,122,0,9988.6201,9692.9277,-11637.2959
166,122,0,10676.1641,8191.6304,-10198.8477
164,122,0,10982.6738,6740.8159,-8752.6563
162,122,0,10986.2803,5427.0303,-7374.2241
160,122,0,10775.9307,4283.9282,-6102.272
160,124,0,11785.6104,3702.1602,-6847.6318
162,124,0,12217.1279,4866.8979,-8411.9199
164,124,0,12419.0645,6317.7119,-10189.168
166,124,0,12245.9766,7966.856,-12080.6396
168,124,0,11576.4619,9733.7959,-14024.3838
170,124,0,10360.0381,11443.04,-15834.5439
172,124,0,8644.7842,12921.5,-17356.2402
174,124,0,6549.6982,13806.1719,-18481.0566
176,124,0,4208.2021,14077.8242,-19133.4883
178,124,0,1738.092,14143.9346,-19296.1113
180,124,0,-721.2,14095.8545,-18953.4395
182,124,0,-2998.99,13905.9385,-18140.3203
184,124,0,-4964.2603,13151.082,-16910.959
186,124,0,-6449.9321,11827.6807,-15379.584
188,124,0,-7416.3403,10311.958,-13695.2637
190,124,0,-7883.918,8819.0742,-12005.1357
190,126,0,-9352.7617,8359.9102,-13869.5039
188,126,0,-9033.0303,10013.8623,-16152.0479
186,126,0,-8043.7842,11779.6006,-18513.9687
